Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,531,532.3,503.8,527.95,511.1,515.5,517.81,542.45,203,6258367,"3,24,06,68,909.45",83239
19-Jan-21,EQ,516,535,516,515.5,533,532.8,527.84,542.45,203,6694907,"3,53,38,60,465.95",82187
20-Jan-21,EQ,529,562.5,529,532.8,556.25,558.6,550.15,562.5,203,14440729,"7,94,45,85,144.15",159124
21-Jan-21,EQ,561.85,561.85,542.65,558.6,549.75,547.65,551.88,562.5,203,8870257,"4,89,53,06,507.45",117414
22-Jan-21,EQ,549.5,557.5,531.7,547.65,535,535.8,545.45,562.5,203,6843849,"3,73,30,08,812.95",86849
25-Jan-21,EQ,543,547.45,522,535.8,523.4,523.65,532.01,562.5,203,5816153,"3,09,42,42,490.10",75883
27-Jan-21,EQ,528.25,536,512.5,523.65,516.65,518.85,523.59,562.5,203,8920054,"4,67,04,11,926.70",105470
28-Jan-21,EQ,515.7,527.95,507.05,518.85,520.3,519.1,519.12,562.5,203,5707393,"2,96,28,07,750.10",72088
29-Jan-21,EQ,527.55,533.1,507.1,519.1,510,509.7,520.22,562.5,203,6781488,"3,52,78,76,648.40",81398
01-Feb-21,EQ,514.3,545.45,500.1,509.7,543.8,542.75,521.81,562.5,203,10259084,"5,35,32,54,917.15",144291
02-Feb-21,EQ,548.7,554.85,540,542.75,553.3,550.8,547.68,562.5,203,7160471,"3,92,16,59,690.50",72629
03-Feb-21,EQ,549.55,562.3,542,550.8,560,560.1,555.66,562.5,203,7462289,"4,14,65,13,325.30",73872
04-Feb-21,EQ,557.9,573.4,554.05,560.1,568.7,568.4,565.59,573.4,203,6850462,"3,87,45,50,036.00",76877
05-Feb-21,EQ,571,573.95,561.65,568.4,567.6,566.95,568.7,573.95,203,5586868,"3,17,72,37,232.50",65457
08-Feb-21,EQ,572.15,594,571.1,566.95,583.3,582.05,583.52,594,203,8887710,"5,18,61,33,387.80",118318
09-Feb-21,EQ,589.65,589.8,573.2,582.05,582.2,581.95,581.89,594,203,10917915,"6,35,30,78,363.25",110355
10-Feb-21,EQ,584.75,587,550.5,581.95,578.4,576.85,567.22,594,203,19987392,"11,33,72,93,385.70",202060
11-Feb-21,EQ,576.85,593.7,576.3,576.85,590.25,591.85,585.92,594,203,10595917,"6,20,83,10,908.15",98093
12-Feb-21,EQ,592.3,621.65,586.1,591.85,611.75,616.6,606.51,621.65,203,24953701,"15,13,46,77,388.95",253089
15-Feb-21,EQ,617.95,639.9,610.8,616.6,625.8,627.75,627.65,639.9,203,15146033,"9,50,64,62,378.65",184606
16-Feb-21,EQ,629.8,643.5,628.05,627.75,637.4,636.55,637.44,643.5,203,15120148,"9,63,81,25,111.15",241095
17-Feb-21,EQ,658,670,646.9,636.55,654,655.75,658.2,670,203,34868085,"22,95,01,89,490.75",469652
18-Feb-21,EQ,660.8,670,649.05,655.75,664.2,664.05,659.78,670,203,13189027,"8,70,18,91,515.10",161477
19-Feb-21,EQ,664.95,676.65,628.65,664.05,655,653.5,658.84,676.65,203,17553743,"11,56,50,22,396.50",219949
22-Feb-21,EQ,658.8,678.5,649,653.5,672,673.8,665.66,678.5,203,16739107,"11,14,24,95,641.05",200480
23-Feb-21,EQ,680,682.7,659.25,673.8,662,662,668.7,682.7,203,11247164,"7,52,09,40,821.50",160718
24-Feb-21,EQ,666.7,671,653.4,662,666.4,665.2,665.04,682.7,203,3919187,"2,60,63,99,185.80",57372
25-Feb-21,EQ,669.4,711.35,667.15,665.2,705,704.3,695.14,711.35,203,18596690,"12,92,72,21,549.30",226639
26-Feb-21,EQ,697.1,703.45,668,704.3,668.25,675.9,686.34,711.35,203,19909990,"13,66,51,13,847.35",220978
01-Mar-21,EQ,684.6,704.65,673.3,675.9,697.6,692.9,688.54,711.35,203,11600468,"7,98,74,21,582.95",179958
02-Mar-21,EQ,697.6,724.7,696,692.9,721.25,720.5,708.76,724.7,203,11486477,"8,14,11,58,368.05",170602
03-Mar-21,EQ,732,754.95,723.4,720.5,733.25,729.85,739.56,754.95,203,19961472,"14,76,26,53,883.70",285506
04-Mar-21,EQ,733.25,765.7,715.85,729.85,751.55,752.45,749.5,765.7,203,30607959,"22,94,05,36,363.40",388068
05-Mar-21,EQ,752.45,761,730.5,752.45,749.65,748.95,748.31,765.7,203,17665200,"13,21,89,90,805.30",245042
08-Mar-21,EQ,762.7,767.8,744.2,748.95,747.8,748.4,754.53,767.8,203,15286852,"11,53,44,18,295.50",184855
09-Mar-21,EQ,755.55,759.4,738.65,748.4,748,750.75,750.81,767.8,203,8548163,"6,41,80,30,555.95",119726
10-Mar-21,EQ,757.5,759.1,743,750.75,744.3,745.35,747.93,767.8,203,5235249,"3,91,55,87,538.60",80675
12-Mar-21,EQ,749,752.1,723,745.35,723.25,728.15,737.27,767.8,203,10961076,"8,08,12,86,368.25",145204
15-Mar-21,EQ,727.8,727.8,706.05,728.15,714.9,719.05,714.38,767.8,203,13403595,"9,57,53,17,658.65",184280
16-Mar-21,EQ,731.4,735.7,714.25,719.05,715.5,717.35,724.18,767.8,203,14979009,"10,84,75,22,192.50",214166
