Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,2592.00,2619.85,2555.40,2590.90,2584.25,2588.20,2580.10,2873.45,1431.20,2395168,"6,17,97,76,750.55",102029
19-Jan-21,EQ,2615.00,2676.60,2590.00,2588.20,2651.00,2645.05,2637.82,2873.45,1431.20,2558693,"6,74,93,70,607.25",137160
20-Jan-21,EQ,2654.00,2707.15,2645.05,2645.05,2695.00,2697.25,2685.07,2873.45,1431.20,2065439,"5,54,58,42,806.45",98505
21-Jan-21,EQ,2726.95,2816.95,2695.00,2697.25,2740.00,2716.35,2744.75,2873.45,1431.20,5015712,"13,76,68,80,686.55",204753
22-Jan-21,EQ,2750.00,2768.85,2590.00,2716.35,2600.95,2596.65,2675.27,2873.45,1431.20,4945564,"13,23,07,01,298.45",210863
25-Jan-21,EQ,2612.85,2631.50,2501.00,2596.65,2519.05,2513.95,2541.24,2873.45,1431.20,3520087,"8,94,53,78,389.45",207974
27-Jan-21,EQ,2525.00,2525.00,2430.55,2513.95,2433.00,2436.60,2463.46,2873.45,1431.20,2700415,"6,65,23,70,640.35",185770
28-Jan-21,EQ,2420.00,2453.95,2401.05,2436.60,2448.00,2441.70,2425.48,2873.45,1431.20,3035457,"7,36,24,31,076.85",131945
29-Jan-21,EQ,2456.00,2484.00,2400.00,2441.70,2412.50,2407.35,2440.58,2873.45,1431.20,2768673,"6,75,71,59,129.80",116478
01-Feb-21,EQ,2426.60,2467.75,2376.90,2407.35,2466.80,2447.80,2415.26,2873.45,1431.20,1797359,"4,34,10,88,630.85",113027
02-Feb-21,EQ,2460.00,2520.00,2425.10,2447.80,2470.00,2463.65,2469.98,2873.45,1431.20,2679428,"6,61,81,28,249.80",144259
03-Feb-21,EQ,2503.85,2503.85,2438.35,2463.65,2454.00,2453.65,2464.64,2873.45,1431.20,2409356,"5,93,81,95,517.30",102463
04-Feb-21,EQ,2456.00,2456.00,2398.00,2453.65,2406.00,2401.80,2411.35,2873.45,1431.20,3478562,"8,38,80,20,272.10",160854
05-Feb-21,EQ,2420.00,2423.90,2370.80,2401.80,2382.00,2376.75,2386.95,2873.45,1431.20,3303319,"7,88,48,48,894.75",149221
08-Feb-21,EQ,2394.00,2434.90,2373.40,2376.75,2424.00,2416.85,2408.69,2873.45,1431.20,3666313,"8,83,09,96,569.55",162331
09-Feb-21,EQ,2432.50,2532.45,2423.65,2416.85,2508.00,2506.85,2498.10,2873.45,1431.20,7178572,"17,93,28,05,677.75",273637
10-Feb-21,EQ,2529.00,2555.00,2475.00,2506.85,2510.15,2510.60,2510.74,2873.45,1431.20,4473123,"11,23,08,51,110.85",194967
11-Feb-21,EQ,2524.95,2540.00,2495.10,2510.60,2508.00,2505.50,2511.73,2873.45,1431.20,1446286,"3,63,26,77,617.00",75891
12-Feb-21,EQ,2518.00,2523.00,2464.20,2505.50,2488.00,2486.10,2491.77,2873.45,1431.20,1376085,"3,42,88,88,505.70",61470
15-Feb-21,EQ,2495.00,2517.50,2448.55,2486.10,2463.00,2456.75,2481.34,2873.45,1431.20,1634576,"4,05,59,39,411.80",75619
16-Feb-21,EQ,2472.00,2475.10,2422.00,2456.75,2453.00,2450.25,2442.51,2873.45,1431.20,1615849,"3,94,67,30,311.55",89982
17-Feb-21,EQ,2436.00,2455.05,2382.00,2450.25,2386.00,2388.15,2404.67,2873.45,1431.20,3178784,"7,64,39,24,159.85",138806
18-Feb-21,EQ,2424.00,2479.60,2395.25,2388.15,2471.00,2470.75,2449.52,2873.45,1431.20,4253843,"10,41,98,60,315.05",139037
19-Feb-21,EQ,2470.90,2470.90,2400.00,2470.75,2423.20,2416.45,2426.74,2873.45,1431.20,2244567,"5,44,69,84,959.65",106810
22-Feb-21,EQ,2428.75,2448.00,2380.00,2416.45,2387.30,2387.05,2415.85,2873.45,1431.20,2002642,"4,83,80,83,885.35",100102
23-Feb-21,EQ,2375.00,2400.00,2315.00,2387.05,2376.00,2372.20,2352.09,2873.45,1431.20,3267268,"7,68,48,98,465.35",152011
