Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,414.00,416.90,402.00,414.60,406.25,409.55,408.33,510.00,252.00,8393582,"3,42,73,81,747.70",100333
19-Jan-21,EQ,413.00,418.00,408.25,409.55,413.60,413.45,413.57,510.00,252.00,5547107,"2,29,41,18,067.55",76560
20-Jan-21,EQ,415.00,416.90,409.25,413.45,412.20,413.85,413.29,510.00,252.00,4937393,"2,04,05,54,306.55",58108
21-Jan-21,EQ,415.00,423.00,405.10,413.85,409.60,408.30,416.02,510.00,252.00,8768238,"3,64,77,32,771.90",97968
22-Jan-21,EQ,409.00,412.95,394.95,408.30,396.90,396.05,403.11,510.00,252.00,7702419,"3,10,49,59,269.00",93338
25-Jan-21,EQ,400.00,402.85,384.70,396.05,385.50,387.30,390.34,510.00,252.00,6030213,"2,35,38,62,897.25",94430
27-Jan-21,EQ,385.55,390.25,379.75,387.30,381.45,380.60,384.57,510.00,252.00,6033438,"2,32,02,79,034.25",102742
28-Jan-21,EQ,377.00,389.70,376.25,380.60,386.50,384.30,385.54,510.00,252.00,8155883,"3,14,44,12,206.05",90373
29-Jan-21,EQ,389.90,396.55,381.35,384.30,385.75,383.60,389.32,510.00,252.00,8258955,"3,21,54,10,866.80",95570
01-Feb-21,EQ,388.00,397.90,380.60,383.60,393.60,393.00,389.88,510.00,252.00,13938368,"5,43,42,43,999.05",133560
02-Feb-21,EQ,396.75,411.00,393.25,393.00,409.50,408.00,403.89,510.00,252.00,8876838,"3,58,52,58,118.15",97195
03-Feb-21,EQ,405.00,417.00,402.35,408.00,414.75,414.90,411.95,510.00,252.00,8509253,"3,50,53,73,889.45",88136
04-Feb-21,EQ,413.60,422.50,410.55,414.90,418.05,418.55,418.49,510.00,252.00,7599341,"3,18,02,18,711.15",94469
05-Feb-21,EQ,420.50,422.30,413.10,418.55,415.40,415.00,416.79,510.00,252.00,3861284,"1,60,93,30,622.40",45703
08-Feb-21,EQ,420.00,424.40,416.00,415.00,420.00,420.05,420.16,495.55,252.00,6322827,"2,65,66,01,374.80",79568
09-Feb-21,EQ,431.00,438.05,416.65,420.05,419.35,419.35,426.80,495.55,252.00,22577022,"9,63,58,00,824.30",200533
10-Feb-21,EQ,422.20,424.95,409.05,419.35,416.00,415.80,416.15,495.55,252.00,9580296,"3,98,68,17,192.95",93016
11-Feb-21,EQ,415.00,422.85,414.30,415.80,421.90,421.95,418.65,495.55,252.00,5729659,"2,39,87,30,491.90",85125
12-Feb-21,EQ,423.00,425.85,414.60,421.95,418.20,418.10,420.10,495.55,252.00,5470945,"2,29,83,26,728.70",53873
15-Feb-21,EQ,422.80,424.90,417.00,418.10,419.45,419.00,421.09,481.00,252.00,5518776,"2,32,38,93,010.80",55954
16-Feb-21,EQ,417.80,422.60,416.20,419.00,418.30,417.95,418.35,481.00,252.00,5397662,"2,25,81,17,274.70",51091
17-Feb-21,EQ,404.50,413.90,401.55,417.95,413.60,411.70,407.79,481.00,252.00,8589431,"3,50,27,02,431.95",87482
18-Feb-21,EQ,415.35,434.35,410.70,411.70,431.00,432.20,424.20,481.00,252.00,20755494,"8,80,44,56,622.45",234653
19-Feb-21,EQ,437.00,444.80,423.50,432.20,429.30,430.00,434.07,481.00,252.00,24446305,"10,61,15,02,300.75",252409
22-Feb-21,EQ,429.30,435.25,418.00,430.00,418.80,422.55,429.08,481.00,252.00,9690341,"4,15,78,97,053.25",120772
23-Feb-21,EQ,428.00,442.70,425.80,422.55,437.35,435.25,436.76,481.00,252.00,14397828,"6,28,84,26,931.35",158597
24-Feb-21,EQ,440.00,445.00,436.10,435.25,438.50,438.70,441.15,481.00,252.00,5990683,"2,64,27,60,610.10",74754
25-Feb-21,EQ,441.95,467.80,441.85,438.70,461.30,461.55,457.51,481.00,252.00,18810829,"8,60,61,39,869.55",182077
26-Feb-21,EQ,454.95,466.35,440.25,461.55,449.90,449.85,454.09,481.00,252.00,18441539,"8,37,40,50,751.05",197233
01-Mar-21,EQ,456.00,463.85,450.10,449.85,455.90,455.25,457.00,481.00,252.00,6092750,"2,78,44,02,695.65",64196
02-Mar-21,EQ,474.50,482.40,462.00,455.25,470.00,469.00,472.96,482.40,252.00,26600333,"12,58,07,82,893.10",306906
03-Mar-21,EQ,480.00,480.00,462.30,469.00,466.35,466.35,467.96,482.40,252.00,8837642,"4,13,56,33,564.95",101677
04-Mar-21,EQ,462.00,472.65,459.25,466.35,464.50,463.90,466.34,482.40,252.00,6278311,"2,92,78,16,409.50",72087
05-Mar-21,EQ,463.00,474.45,458.10,463.90,463.50,461.80,467.48,482.40,252.00,8896513,"4,15,89,21,704.85",113603
08-Mar-21,EQ,462.00,472.95,461.80,461.80,467.20,466.70,468.28,482.40,252.00,5674769,"2,65,73,85,096.00",63190
09-Mar-21,EQ,446.20,454.00,437.35,466.70,445.45,445.90,440.96,482.40,252.00,199790953,"88,10,05,30,104.70",432637
