Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,822.00,826.65,796.20,823.70,798.90,801.75,807.82,864.60,355.30,3742440,"3,02,32,31,872.90",63341
19-Jan-21,EQ,802.50,825.40,802.50,801.75,825.00,822.45,815.77,864.60,355.30,3791378,"3,09,28,80,549.00",76171
20-Jan-21,EQ,822.50,834.90,822.30,822.45,832.85,832.80,828.51,864.60,355.30,3056546,"2,53,23,92,573.95",60544
21-Jan-21,EQ,835.00,839.30,809.00,832.80,817.65,812.75,825.72,864.60,355.30,3326213,"2,74,65,28,293.65",70380
22-Jan-21,EQ,815.80,822.50,798.25,812.75,808.90,808.30,811.56,864.60,355.30,3883231,"3,15,14,75,334.35",83297
25-Jan-21,EQ,813.00,857.00,808.25,808.30,839.00,836.80,839.30,864.60,355.30,10704200,"8,98,40,52,307.35",168368
27-Jan-21,EQ,839.90,856.45,825.20,836.80,839.70,842.50,843.08,864.60,355.30,7410174,"6,24,73,89,509.85",133350
28-Jan-21,EQ,835.50,848.85,825.70,842.50,840.30,841.90,839.27,864.60,355.30,4489853,"3,76,82,12,473.60",84347
29-Jan-21,EQ,847.95,850.85,820.75,841.90,828.00,825.90,835.27,864.60,355.30,7185812,"6,00,21,17,718.60",127245
01-Feb-21,EQ,815.00,831.00,779.95,825.90,805.95,806.40,812.75,864.60,355.30,13856367,"11,26,17,83,138.50",202806
02-Feb-21,EQ,807.00,826.35,801.50,806.40,826.00,821.60,813.62,864.60,355.30,8486828,"6,90,50,67,694.75",118335
03-Feb-21,EQ,826.00,878.90,824.20,821.60,852.25,849.25,858.38,878.90,355.30,15674616,"13,45,47,08,049.65",234283
04-Feb-21,EQ,847.55,856.50,832.60,849.25,835.25,834.45,844.36,878.90,355.30,4639606,"3,91,74,92,519.00",79921
05-Feb-21,EQ,839.60,854.90,830.50,834.45,848.00,847.70,844.64,878.90,355.30,7381183,"6,23,44,53,905.15",116960
08-Feb-21,EQ,852.00,859.25,841.05,847.70,846.05,847.25,850.70,878.90,355.30,4244906,"3,61,11,27,804.80",89383
09-Feb-21,EQ,848.00,856.85,839.00,847.25,841.70,841.75,848.13,878.90,355.30,4200281,"3,56,23,80,308.65",86900
10-Feb-21,EQ,847.60,867.00,841.00,841.75,865.60,863.40,854.53,878.90,355.30,5665209,"4,84,10,82,010.80",107639
