Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,3640.00,3659.00,3551.00,3644.80,3559.35,3565.30,3593.43,3914.95,1626.00,952462,"3,42,26,01,269.15",64553
19-Jan-21,EQ,3576.00,3631.00,3555.20,3565.30,3617.00,3599.45,3582.22,3914.95,1626.00,834021,"2,98,76,50,334.90",51559
20-Jan-21,EQ,3630.00,3666.10,3597.05,3599.45,3610.00,3605.70,3632.17,3914.95,1626.00,730498,"2,65,32,93,279.20",60144
21-Jan-21,EQ,3650.00,3650.00,3590.00,3605.70,3615.00,3604.60,3618.85,3914.95,1626.00,706058,"2,55,51,14,663.55",68885
22-Jan-21,EQ,3604.60,3613.75,3530.00,3604.60,3536.20,3544.70,3568.28,3914.95,1626.00,720287,"2,57,01,85,852.70",63452
25-Jan-21,EQ,3562.00,3589.40,3481.70,3544.70,3582.00,3569.05,3532.08,3914.95,1626.00,926197,"3,27,14,00,769.60",89355
27-Jan-21,EQ,3594.90,3600.00,3469.90,3569.05,3480.00,3483.05,3509.18,3914.95,1626.00,944951,"3,31,60,01,453.35",103027
28-Jan-21,EQ,3460.00,3496.70,3410.00,3483.05,3410.35,3429.75,3448.80,3914.95,1626.00,717703,"2,47,52,17,552.60",72595
29-Jan-21,EQ,3450.00,3458.00,3360.10,3429.75,3380.00,3369.85,3396.38,3914.95,1626.00,1015705,"3,44,97,20,016.75",88049
01-Feb-21,EQ,3418.00,3520.00,3311.40,3369.85,3516.00,3463.60,3389.91,3914.95,1626.00,998291,"3,38,41,11,804.25",94329
02-Feb-21,EQ,3540.00,3567.70,3446.10,3463.60,3543.05,3548.60,3511.81,3914.95,1626.00,1624774,"5,70,59,00,867.85",112747
03-Feb-21,EQ,3590.00,3716.90,3561.25,3548.60,3714.00,3680.25,3660.80,3914.95,1626.00,1693164,"6,19,83,30,596.75",108408
04-Feb-21,EQ,3713.95,3724.75,3651.00,3680.25,3671.80,3678.90,3676.32,3914.95,1626.00,908879,"3,34,13,30,393.15",62757
05-Feb-21,EQ,3699.00,3859.80,3665.05,3678.90,3853.00,3822.45,3768.75,3914.95,1626.00,2152555,"8,11,24,52,208.65",127248
08-Feb-21,EQ,3799.00,3888.00,3650.00,3822.45,3783.05,3781.85,3790.16,3914.95,1626.00,2744564,"10,40,23,35,348.80",154000
09-Feb-21,EQ,3783.05,3841.25,3705.05,3781.85,3732.50,3722.75,3786.09,3914.95,1626.00,1319497,"4,99,57,29,261.65",76571
10-Feb-21,EQ,3740.00,3760.00,3675.40,3722.75,3745.00,3750.35,3723.31,3914.95,1626.00,953446,"3,54,99,78,796.80",55676
11-Feb-21,EQ,3719.60,3764.70,3712.00,3750.35,3760.00,3753.85,3736.16,3914.95,1626.00,422563,"1,57,87,64,830.90",34905
12-Feb-21,EQ,3753.85,3753.85,3695.15,3753.85,3717.85,3719.40,3724.49,3914.95,1626.00,561226,"2,09,02,80,860.85",36639
