Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,1023.00,1029.55,990.85,1033.05,994.85,999.20,1007.06,1041.00,385.05,1847393,"1,86,04,41,935.20",56469
19-Jan-21,EQ,1002.00,1052.50,1002.00,999.20,1032.00,1031.90,1037.55,1052.50,385.05,4059040,"4,21,14,52,529.50",98799
20-Jan-21,EQ,1028.00,1038.50,1014.80,1031.90,1028.90,1034.70,1025.45,1052.50,385.05,1528763,"1,56,76,72,407.50",52762
21-Jan-21,EQ,1036.00,1046.95,1012.50,1034.70,1022.30,1017.10,1031.15,1052.50,385.05,1268212,"1,30,77,12,836.40",36055
22-Jan-21,EQ,1022.30,1030.75,1000.00,1017.10,1001.25,1004.00,1012.76,1052.50,385.05,1029795,"1,04,29,30,232.35",31591
25-Jan-21,EQ,1025.00,1114.65,1017.00,1004.00,1062.90,1069.75,1075.06,1114.65,385.05,15344078,"16,49,57,88,061.85",316677
27-Jan-21,EQ,1063.95,1114.35,1051.05,1069.75,1060.00,1061.55,1081.88,1114.65,385.05,6620990,"7,16,31,09,106.45",162403
28-Jan-21,EQ,1040.50,1076.00,1038.55,1061.55,1065.20,1067.40,1056.09,1114.65,385.05,2834260,"2,99,32,27,872.45",78641
29-Jan-21,EQ,1062.60,1094.00,1048.45,1067.40,1062.00,1055.65,1073.20,1114.65,385.05,3822191,"4,10,19,79,072.55",94386
01-Feb-21,EQ,1060.00,1130.80,1047.35,1055.65,1130.50,1125.65,1092.85,1130.80,385.05,2099126,"2,29,40,22,387.50",60712
02-Feb-21,EQ,1144.00,1209.90,1136.45,1125.65,1190.00,1190.00,1182.60,1209.90,385.05,4122906,"4,87,57,34,119.05",104344
03-Feb-21,EQ,1178.10,1205.50,1172.25,1190.00,1180.10,1190.85,1191.92,1209.90,385.05,2427085,"2,89,28,99,266.20",64409
04-Feb-21,EQ,1180.00,1217.45,1171.05,1190.85,1187.00,1188.50,1196.31,1217.45,385.05,2659290,"3,18,13,26,496.20",68786
05-Feb-21,EQ,1188.50,1208.80,1173.00,1188.50,1185.80,1186.10,1188.23,1217.45,385.05,1636133,"1,94,41,01,981.00",58845
08-Feb-21,EQ,1186.00,1220.00,1185.00,1186.10,1213.00,1210.80,1206.34,1220.00,385.05,1955804,"2,35,93,57,008.85",46930
