Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,1000.00,1004.95,976.90,989.80,978.10,981.50,990.09,1067.00,375.25,12947569,"12,81,92,40,554.90",256612
19-Jan-21,EQ,988.00,997.00,979.35,981.50,987.00,983.85,985.98,1067.00,375.25,6387923,"6,29,83,46,813.15",168528
20-Jan-21,EQ,991.75,1009.65,987.55,983.85,997.50,999.25,1001.18,1067.00,375.25,7444118,"7,45,28,87,783.00",153672
21-Jan-21,EQ,1009.00,1020.00,982.95,999.25,991.50,993.30,1003.92,1067.00,375.25,8857975,"8,89,27,26,373.60",185089
22-Jan-21,EQ,991.70,1004.00,981.40,993.30,985.95,985.80,990.00,1067.00,375.25,5379466,"5,32,56,89,212.60",182218
25-Jan-21,EQ,997.00,997.00,941.00,985.80,948.00,947.50,966.54,1067.00,375.25,7731883,"7,47,31,44,666.95",325690
27-Jan-21,EQ,952.10,963.25,942.50,947.50,957.40,955.50,955.55,1067.00,375.25,7531736,"7,19,69,66,517.55",247705
28-Jan-21,EQ,948.80,952.40,930.10,955.50,932.00,933.95,941.03,1067.00,375.25,6960905,"6,55,04,46,434.55",191909
29-Jan-21,EQ,941.00,949.50,909.50,933.95,914.50,914.00,927.73,1067.00,375.25,7692663,"7,13,67,14,192.85",160581
01-Feb-21,EQ,919.00,933.75,896.35,914.00,932.10,928.35,915.30,1067.00,375.25,8651478,"7,91,86,81,533.35",208551
02-Feb-21,EQ,947.00,963.00,935.55,928.35,956.10,954.65,948.74,1067.00,375.25,7690178,"7,29,60,13,605.45",152162
03-Feb-21,EQ,966.00,973.30,952.55,954.65,961.95,959.90,964.84,1067.00,375.25,6354619,"6,13,11,62,758.05",142811
04-Feb-21,EQ,964.70,970.45,950.15,959.90,957.00,957.65,959.52,1067.00,375.25,4623148,"4,43,59,96,887.05",129604
