Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,3200.00,3217.55,3082.25,3203.00,3155.00,3163.15,3143.29,3394.90,1475.00,1280163,"4,02,39,27,328.65",73661
19-Jan-21,EQ,3170.50,3240.75,3170.50,3163.15,3229.00,3232.90,3213.58,3394.90,1475.00,770832,"2,47,71,32,038.25",54574
20-Jan-21,EQ,3239.00,3292.50,3230.30,3232.90,3268.00,3275.60,3272.55,3394.90,1475.00,841752,"2,75,46,77,807.25",61317
21-Jan-21,EQ,3275.60,3346.00,3219.70,3275.60,3265.00,3247.30,3303.71,3394.90,1475.00,1300181,"4,29,54,16,275.55",74531
22-Jan-21,EQ,3265.00,3483.95,3258.90,3247.30,3377.00,3374.90,3408.51,3483.95,1475.00,3813020,"12,99,67,10,789.35",206894
25-Jan-21,EQ,3417.95,3520.15,3357.05,3374.90,3461.50,3474.95,3451.29,3520.15,1475.00,2266967,"7,82,39,51,889.55",144268
27-Jan-21,EQ,3450.00,3484.00,3329.95,3474.95,3341.00,3358.55,3415.36,3520.15,1475.00,1333633,"4,55,48,37,122.30",79044
28-Jan-21,EQ,3338.95,3464.10,3325.15,3358.55,3376.00,3397.40,3400.00,3520.15,1475.00,1986409,"6,75,37,82,258.30",110575
29-Jan-21,EQ,3419.90,3485.00,3226.40,3397.40,3272.00,3256.05,3377.32,3520.15,1475.00,1718833,"5,80,50,48,283.95",103370
01-Feb-21,EQ,3300.00,3360.80,3217.25,3256.05,3356.00,3340.65,3298.59,3520.15,1475.00,1285163,"4,23,92,30,123.20",89587
02-Feb-21,EQ,3400.00,3400.00,3261.00,3340.65,3290.60,3293.85,3307.88,3520.15,1475.00,1751516,"5,79,38,10,298.15",117430
03-Feb-21,EQ,3296.55,3422.00,3268.00,3293.85,3407.65,3380.80,3351.99,3520.15,1475.00,1077971,"3,61,33,45,611.35",71065
04-Feb-21,EQ,3441.00,3515.00,3404.10,3380.80,3442.00,3440.70,3452.14,3520.15,1475.00,2425660,"8,37,37,27,937.75",135934
