Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,252.30,254.25,240.60,253.35,242.50,243.15,243.42,275.40,84.90,17989695,"4,37,90,21,808.90",147618
19-Jan-21,EQ,246.50,252.65,243.35,243.15,251.95,251.55,247.85,275.40,84.90,10254337,"2,54,15,55,737.60",58663
20-Jan-21,EQ,251.60,253.65,248.60,251.55,251.60,252.10,251.34,275.40,84.90,11090894,"2,78,75,97,441.30",71252
21-Jan-21,EQ,252.85,254.55,246.45,252.10,250.40,248.90,251.12,275.40,84.90,8781513,"2,20,51,91,322.95",90360
22-Jan-21,EQ,247.25,249.80,235.55,248.90,239.60,239.20,240.58,275.40,84.90,16005359,"3,85,05,85,188.30",114993
25-Jan-21,EQ,240.70,243.90,233.60,239.20,240.45,240.30,239.62,275.40,84.90,8297942,"1,98,83,32,577.30",64528
27-Jan-21,EQ,240.00,240.05,229.75,240.30,230.75,231.40,233.80,275.40,84.90,14139166,"3,30,57,50,581.75",126056
28-Jan-21,EQ,225.00,232.10,224.55,231.40,228.75,229.05,228.41,275.40,84.90,13756664,"3,14,21,04,316.50",85256
29-Jan-21,EQ,230.10,234.30,225.00,229.05,226.10,226.30,229.83,275.40,84.90,14992241,"3,44,56,66,479.80",104054
01-Feb-21,EQ,227.35,243.95,226.55,226.30,242.00,241.15,234.75,275.40,84.90,12417894,"2,91,51,58,414.35",121835
02-Feb-21,EQ,244.20,257.40,243.90,241.15,254.50,255.35,252.61,275.40,84.90,18251184,"4,61,04,11,469.05",123738
03-Feb-21,EQ,254.00,263.40,252.55,255.35,257.00,257.25,257.81,275.40,84.90,15670948,"4,04,00,53,779.00",105090
04-Feb-21,EQ,259.95,267.40,258.95,257.25,262.65,261.85,263.90,275.40,84.90,21296401,"5,62,02,21,094.55",145683
05-Feb-21,EQ,264.00,266.00,255.90,261.85,262.60,262.05,261.60,275.40,84.90,12833374,"3,35,72,62,271.00",86179
08-Feb-21,EQ,264.00,280.55,263.55,262.05,278.55,278.95,274.29,280.55,84.90,27556901,"7,55,86,00,563.50",207524
09-Feb-21,EQ,278.55,285.90,275.65,278.95,278.95,278.05,281.42,285.90,84.90,22066741,"6,21,01,01,038.40",145738
10-Feb-21,EQ,281.00,283.35,274.70,278.05,279.70,279.40,279.40,285.90,84.90,16789592,"4,69,09,93,975.65",132892
11-Feb-21,EQ,280.80,297.35,279.85,279.40,294.80,295.40,290.91,297.35,84.90,47356292,"13,77,62,36,101.50",287892
12-Feb-21,EQ,297.00,297.25,286.50,295.40,291.00,290.80,291.69,297.35,84.90,15454237,"4,50,78,20,225.80",93994
15-Feb-21,EQ,292.50,296.05,289.00,290.80,291.10,291.40,292.56,297.35,84.90,8041775,"2,35,27,41,176.50",71677
16-Feb-21,EQ,293.55,307.35,293.00,291.40,302.00,302.70,302.90,307.35,84.90,27519511,"8,33,56,41,658.45",217537
17-Feb-21,EQ,302.70,308.50,301.00,302.70,304.10,303.90,304.57,308.50,84.90,18221106,"5,54,96,79,463.65",129930
18-Feb-21,EQ,306.05,312.60,305.00,303.90,309.60,309.90,309.31,312.60,84.90,16202053,"5,01,14,34,700.50",133048
