Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,2374.50,2374.50,2320.65,2351.15,2323.00,2332.60,2348.24,2614.30,1757.30,1733797,"4,07,13,70,359.55",121351
19-Jan-21,EQ,2342.00,2382.10,2323.25,2332.60,2366.05,2363.15,2356.53,2614.30,1757.30,1495269,"3,52,36,53,036.25",110595
20-Jan-21,EQ,2357.00,2373.95,2346.30,2363.15,2359.30,2355.95,2358.95,2614.30,1757.30,1380562,"3,25,66,71,185.35",56821
21-Jan-21,EQ,2376.00,2399.90,2350.00,2355.95,2368.00,2367.65,2379.79,2614.30,1757.30,1521133,"3,61,99,70,951.85",109343
22-Jan-21,EQ,2359.00,2422.00,2357.00,2367.65,2402.00,2409.35,2401.25,2614.30,1757.30,2548089,"6,11,86,04,663.10",125848
25-Jan-21,EQ,2420.00,2432.35,2385.00,2409.35,2398.05,2399.60,2408.46,2614.30,1757.30,2124424,"5,11,65,80,933.90",121801
27-Jan-21,EQ,2425.00,2425.00,2335.00,2399.60,2403.00,2391.30,2376.31,2614.30,1757.30,2460297,"5,84,64,30,417.40",134530
28-Jan-21,EQ,2367.90,2411.55,2290.00,2391.30,2304.00,2300.40,2332.18,2614.30,1757.30,3867335,"9,01,93,11,004.40",235954
29-Jan-21,EQ,2315.10,2322.30,2251.00,2300.40,2264.50,2263.90,2278.17,2614.30,1757.30,4472694,"10,18,95,42,859.00",180375
01-Feb-21,EQ,2276.65,2285.00,2226.20,2263.90,2255.00,2248.60,2253.01,2614.30,1757.30,2717591,"6,12,27,54,356.05",127202
02-Feb-21,EQ,2271.05,2275.00,2205.00,2248.60,2225.00,2230.45,2233.77,2614.30,1757.30,4215607,"9,41,66,83,078.00",229142
03-Feb-21,EQ,2231.50,2257.00,2217.60,2230.45,2233.80,2232.85,2241.56,2614.30,1757.30,2353429,"5,27,53,63,066.20",115017
04-Feb-21,EQ,2239.00,2259.00,2226.20,2232.85,2247.00,2245.60,2242.04,2614.30,1757.30,2908003,"6,51,98,60,226.95",110128
