Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,1338.00,1340.00,1306.00,1344.95,1311.00,1312.05,1320.52,1392.80,509.25,8861765,"11,70,21,48,822.35",230056
19-Jan-21,EQ,1320.00,1331.00,1312.00,1312.05,1319.35,1316.65,1320.27,1392.80,509.25,5585744,"7,37,46,94,216.10",178275
20-Jan-21,EQ,1320.55,1348.40,1320.55,1316.65,1338.85,1339.45,1338.37,1392.80,509.25,8225838,"11,00,92,21,845.75",195330
21-Jan-21,EQ,1350.00,1361.05,1335.00,1339.45,1342.00,1339.70,1344.32,1392.80,509.25,6142421,"8,25,73,54,257.80",156050
22-Jan-21,EQ,1327.00,1356.00,1326.55,1339.70,1336.00,1340.85,1344.65,1392.80,509.25,9646591,"12,97,12,61,022.25",188343
25-Jan-21,EQ,1345.00,1347.90,1313.00,1340.85,1335.00,1325.10,1337.58,1392.80,509.25,6542611,"8,75,12,73,546.85",159466
27-Jan-21,EQ,1319.60,1327.55,1285.10,1325.10,1300.50,1301.00,1308.99,1392.80,509.25,8133665,"10,64,68,61,260.40",285525
28-Jan-21,EQ,1291.80,1296.45,1272.55,1301.00,1276.50,1276.20,1283.02,1392.80,509.25,4660690,"5,97,97,74,972.30",212130
29-Jan-21,EQ,1286.25,1291.15,1231.00,1276.20,1250.00,1239.05,1253.29,1392.80,509.25,12183519,"15,26,94,37,394.85",268406
01-Feb-21,EQ,1250.55,1277.95,1241.00,1239.05,1267.10,1260.90,1255.60,1392.80,509.25,8880279,"11,15,01,04,432.25",232672
02-Feb-21,EQ,1280.00,1294.40,1263.60,1260.90,1275.50,1271.25,1275.19,1392.80,509.25,6892490,"8,78,92,23,156.80",168360
03-Feb-21,EQ,1277.65,1304.00,1273.00,1271.25,1285.00,1284.65,1289.14,1392.80,509.25,8182968,"10,54,90,03,463.65",204774
04-Feb-21,EQ,1285.00,1293.40,1272.05,1284.65,1278.50,1279.35,1281.04,1392.80,509.25,5032240,"6,44,64,86,331.45",148262
05-Feb-21,EQ,1286.40,1288.75,1262.00,1279.35,1273.00,1272.10,1270.01,1392.80,509.25,5477481,"6,95,64,68,417.35",176339
08-Feb-21,EQ,1285.50,1310.00,1275.50,1272.10,1310.00,1303.55,1292.02,1392.80,509.25,6921922,"8,94,32,52,910.40",198135
09-Feb-21,EQ,1306.90,1332.00,1297.85,1303.55,1308.10,1305.55,1317.89,1392.80,509.25,7965949,"10,49,82,69,840.10",168139
10-Feb-21,EQ,1295.80,1304.35,1283.60,1305.55,1297.00,1296.50,1293.40,1392.80,509.25,5951207,"7,69,72,65,667.60",175936
11-Feb-21,EQ,1289.00,1296.00,1283.05,1296.50,1292.20,1292.65,1289.54,1392.80,509.25,4673317,"6,02,64,38,862.70",128045
12-Feb-21,EQ,1305.00,1323.75,1301.55,1292.65,1312.00,1309.80,1312.31,1392.80,509.25,5797875,"7,60,86,00,802.80",142747
15-Feb-21,EQ,1320.00,1328.40,1307.10,1309.80,1312.00,1309.65,1317.42,1392.80,509.25,4363513,"5,74,85,61,879.95",143342
16-Feb-21,EQ,1314.00,1319.75,1286.00,1309.65,1294.50,1290.40,1298.05,1392.80,509.25,6896421,"8,95,19,18,993.70",285705
17-Feb-21,EQ,1290.40,1294.50,1275.00,1290.40,1280.50,1281.30,1283.76,1392.80,509.25,4575741,"5,87,41,33,583.20",142040
18-Feb-21,EQ,1276.00,1306.00,1275.00,1281.30,1289.35,1292.45,1291.86,1392.80,509.25,6437551,"8,31,64,45,821.30",178755
19-Feb-21,EQ,1296.10,1299.50,1276.80,1292.45,1293.00,1291.30,1288.37,1392.80,509.25,5389696,"6,94,39,24,608.55",129418
22-Feb-21,EQ,1295.00,1308.55,1260.00,1291.30,1264.15,1265.20,1282.74,1392.80,509.25,7371303,"9,45,54,56,933.75",205288
23-Feb-21,EQ,1271.15,1291.00,1257.55,1265.20,1268.00,1266.35,1270.87,1392.80,509.25,6612942,"8,40,41,81,985.80",237023
24-Feb-21,EQ,1260.05,1276.60,1252.00,1266.35,1272.70,1274.30,1265.24,1392.80,509.25,4537258,"5,74,07,27,000.55",125315
25-Feb-21,EQ,1288.45,1299.75,1272.00,1274.30,1275.00,1274.55,1283.44,1392.80,509.25,8788221,"11,27,91,33,375.75",215308
26-Feb-21,EQ,1269.00,1274.30,1244.75,1274.55,1252.00,1253.30,1256.57,1392.80,509.25,15132388,"19,01,48,56,542.45",296665
01-Mar-21,EQ,1263.30,1284.50,1259.00,1253.30,1271.00,1267.00,1271.66,1392.80,509.25,5756286,"7,32,00,37,306.65",133035
02-Mar-21,EQ,1282.25,1310.00,1279.20,1267.00,1308.60,1304.50,1294.56,1392.80,509.25,10461434,"13,54,29,27,955.10",182506
03-Mar-21,EQ,1319.20,1347.00,1308.00,1304.50,1340.95,1343.55,1329.25,1392.80,509.25,9056399,"12,03,82,22,652.00",189231
04-Mar-21,EQ,1335.00,1363.85,1325.90,1343.55,1334.60,1330.35,1343.22,1392.80,509.25,12041941,"16,17,49,61,451.80",225028
05-Mar-21,EQ,1328.50,1340.00,1305.05,1330.35,1320.05,1316.70,1322.67,1392.80,509.25,6486176,"8,57,90,75,404.40",180930
08-Mar-21,EQ,1324.80,1346.10,1317.20,1316.70,1336.05,1335.75,1334.28,1392.80,509.25,5119392,"6,83,06,99,261.80",126809
09-Mar-21,EQ,1329.50,1350.45,1318.75,1335.75,1344.00,1345.55,1334.21,1392.80,509.25,6518173,"8,69,65,84,495.75",144157
10-Mar-21,EQ,1356.90,1374.00,1355.00,1345.55,1366.50,1368.15,1365.17,1392.80,509.25,7925984,"10,82,03,04,084.25",177164
12-Mar-21,EQ,1373.00,1391.70,1370.05,1368.15,1375.30,1374.85,1381.13,1392.80,509.25,9462061,"13,06,83,74,479.10",199285
15-Mar-21,EQ,1370.00,1379.90,1358.50,1374.85,1371.95,1373.60,1369.96,1392.80,509.25,6658665,"9,12,20,82,515.75",174194
16-Mar-21,EQ,1386.05,1406.00,1380.50,1373.60,1384.60,1384.00,1391.20,1406.00,509.25,9352771,"13,01,15,43,029.50",230871
17-Mar-21,EQ,1392.25,1400.00,1382.00,1384.00,1387.10,1387.00,1392.47,1406.00,509.25,7626744,"10,62,00,25,456.00",157640
18-Mar-21,EQ,1393.75,1393.75,1313.50,1387.00,1341.80,1337.10,1347.80,1406.00,509.25,10961755,"14,77,42,34,434.95",298042
19-Mar-21,EQ,1330.00,1355.20,1318.00,1337.10,1347.15,1344.45,1340.27,1406.00,509.25,12767112,"17,11,13,30,912.85",235459
22-Mar-21,EQ,1350.10,1376.00,1336.10,1344.45,1371.10,1370.80,1355.94,1406.00,515.90,4862758,"6,59,36,05,265.20",129112
23-Mar-21,EQ,1372.45,1383.25,1359.60,1370.80,1369.80,1371.55,1372.44,1406.00,515.90,7165335,"9,83,39,91,115.85",164495
24-Mar-21,EQ,1357.85,1370.45,1346.25,1371.55,1355.00,1353.75,1357.63,1406.00,515.90,6134303,"8,32,81,38,652.25",143327
25-Mar-21,EQ,1346.75,1352.50,1327.60,1353.75,1337.60,1333.80,1338.88,1406.00,515.90,8749994,"11,71,52,31,220.75",184200
26-Mar-21,EQ,1344.70,1356.70,1332.00,1333.80,1338.70,1336.20,1340.61,1406.00,515.90,4922071,"6,59,85,64,525.25",138471
30-Mar-21,EQ,1346.90,1400.00,1336.15,1336.20,1386.50,1385.30,1373.99,1406.00,582.15,10546919,"14,49,13,56,277.80",227944
31-Mar-21,EQ,1382.00,1388.00,1363.30,1385.30,1367.30,1368.05,1370.72,1406.00,582.15,8220987,"11,26,86,77,504.10",218153
01-Apr-21,EQ,1380.00,1391.60,1371.00,1368.05,1386.00,1385.20,1382.72,1406.00,582.15,5675155,"7,84,71,48,794.55",146481
05-Apr-21,EQ,1391.00,1425.00,1387.00,1385.20,1415.00,1409.90,1406.84,1425.00,603.50,9479572,"13,33,62,73,564.95",237018
06-Apr-21,EQ,1423.00,1426.00,1406.45,1409.90,1414.00,1411.05,1415.69,1426.00,603.50,5793571,"8,20,18,98,839.90",153955
07-Apr-21,EQ,1410.25,1434.95,1406.60,1411.05,1430.00,1430.20,1422.23,1434.95,603.50,5879234,"8,36,16,00,367.55",135633
08-Apr-21,EQ,1430.00,1451.70,1421.00,1430.20,1438.15,1439.85,1440.96,1451.70,603.50,5654434,"8,14,77,88,509.25",179859
09-Apr-21,EQ,1455.00,1455.00,1430.05,1439.85,1441.00,1441.05,1441.23,1455.00,603.50,6052712,"8,72,33,70,111.65",134860
12-Apr-21,EQ,1474.00,1477.55,1415.00,1441.05,1431.50,1425.75,1438.59,1477.55,603.50,20384532,"29,32,50,12,715.25",477964
13-Apr-21,EQ,1433.00,1435.25,1375.00,1425.75,1402.85,1397.15,1394.92,1477.55,603.50,14855206,"20,72,18,14,129.60",453578
15-Apr-21,EQ,1332.30,1366.40,1320.00,1397.15,1363.30,1360.75,1347.38,1477.55,603.50,25342491,"34,14,59,35,655.55",678751
16-Apr-21,EQ,1365.00,1370.85,1346.60,1360.75,1348.10,1353.75,1358.97,1477.55,603.50,10879878,"14,78,53,92,742.35",285474
19-Apr-21,EQ,1340.00,1379.70,1332.35,1353.75,1363.00,1362.55,1359.57,1477.55,627.80,12508028,"17,00,55,47,107.35",260647
20-Apr-21,EQ,1379.00,1379.00,1342.40,1362.55,1349.00,1351.35,1357.18,1477.55,627.80,8560766,"11,61,84,60,456.40",174560
22-Apr-21,EQ,1355.55,1364.80,1345.15,1351.35,1352.00,1351.10,1352.38,1477.55,627.80,6622446,"8,95,60,80,142.05",203956
23-Apr-21,EQ,1343.00,1348.40,1331.00,1351.10,1333.90,1333.80,1339.49,1477.55,627.80,7316262,"9,80,00,84,842.40",163801
26-Apr-21,EQ,1332.25,1351.30,1321.00,1333.80,1345.00,1343.55,1343.19,1477.55,646.70,7088606,"9,52,13,61,287.20",130375
27-Apr-21,EQ,1346.00,1353.00,1340.15,1343.55,1347.50,1348.50,1346.89,1477.55,646.70,3636115,"4,89,74,45,224.05",145974
28-Apr-21,EQ,1358.00,1359.50,1344.60,1348.50,1355.80,1356.00,1353.45,1477.55,646.70,4879234,"6,60,37,77,602.05",137376
29-Apr-21,EQ,1368.00,1369.00,1351.40,1356.00,1356.00,1356.35,1360.05,1477.55,646.70,5412357,"7,36,10,90,047.40",119277
30-Apr-21,EQ,1346.30,1373.90,1345.90,1356.35,1348.60,1354.35,1361.16,1477.55,646.70,8354677,"11,37,20,27,784.65",131718
