Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,393.50,394.00,375.50,394.20,377.45,383.10,382.88,413.10,132.50,10605461,"4,06,06,16,120.40",80269
19-Jan-21,EQ,386.20,397.75,381.60,383.10,395.65,395.40,390.20,413.10,132.50,5842513,"2,27,97,74,750.20",55051
20-Jan-21,EQ,395.00,402.90,393.45,395.40,398.40,400.90,399.16,413.10,132.50,5604951,"2,23,72,74,967.00",49112
21-Jan-21,EQ,402.50,405.00,388.95,400.90,396.00,393.30,397.14,413.10,132.50,7085945,"2,81,41,06,355.95",67730
22-Jan-21,EQ,396.00,397.45,372.20,393.30,377.70,375.40,383.80,413.10,132.50,8779405,"3,36,95,28,678.40",74367
25-Jan-21,EQ,388.00,394.95,371.45,375.40,382.55,382.45,382.91,413.10,132.50,17874949,"6,84,44,79,668.05",164936
27-Jan-21,EQ,380.60,382.00,371.55,382.45,374.00,376.25,377.59,413.10,132.50,8576326,"3,23,82,97,905.15",93894
28-Jan-21,EQ,371.00,380.85,369.60,376.25,375.35,376.30,374.30,413.10,132.50,6969457,"2,60,86,54,308.00",68667
29-Jan-21,EQ,382.05,382.55,363.20,376.30,365.30,366.85,372.53,413.10,132.50,7981367,"2,97,33,27,710.30",66969
01-Feb-21,EQ,366.50,384.40,363.65,366.85,381.00,380.85,372.21,413.10,132.50,6141212,"2,28,58,28,450.30",62448
02-Feb-21,EQ,384.65,391.70,376.70,380.85,389.00,389.00,384.76,413.10,132.50,7450391,"2,86,66,34,152.10",62118
03-Feb-21,EQ,386.20,398.45,384.70,389.00,393.00,392.90,392.88,413.10,132.50,6063017,"2,38,20,51,214.40",57075
04-Feb-21,EQ,392.90,402.00,390.45,392.90,400.90,400.30,398.47,413.10,132.50,6283280,"2,50,36,81,334.70",59704
05-Feb-21,EQ,403.00,406.60,389.15,400.30,402.85,402.20,400.05,413.10,132.50,9008833,"3,60,40,14,513.15",76433
08-Feb-21,EQ,404.55,419.25,401.20,402.20,416.25,417.65,411.42,419.25,132.50,9008722,"3,70,63,52,176.95",83516
09-Feb-21,EQ,417.00,420.00,401.85,417.65,408.00,406.45,412.41,420.00,132.50,7961747,"3,28,35,09,676.75",78448
10-Feb-21,EQ,410.00,413.95,400.00,406.45,408.60,410.75,407.37,420.00,132.50,8008124,"3,26,22,93,706.10",76048
11-Feb-21,EQ,408.20,415.50,404.95,410.75,407.80,408.85,409.85,420.00,132.50,3598146,"1,47,46,98,068.65",38091
12-Feb-21,EQ,407.85,410.90,402.60,408.85,403.05,403.80,406.52,420.00,132.50,4667663,"1,89,74,81,674.70",39630
15-Feb-21,EQ,405.10,407.85,401.00,403.80,402.60,403.70,404.62,420.00,132.50,4678133,"1,89,28,89,388.20",41254
16-Feb-21,EQ,403.70,421.90,403.70,403.70,406.30,407.65,413.92,421.90,132.50,10594928,"4,38,54,78,484.15",104314
17-Feb-21,EQ,406.35,411.00,401.00,407.65,408.05,408.70,406.38,421.90,132.50,5486323,"2,22,95,36,037.25",48189
18-Feb-21,EQ,410.00,414.75,406.00,408.70,407.15,407.65,408.95,421.90,132.50,5889983,"2,40,86,91,556.75",50556
19-Feb-21,EQ,408.10,408.40,390.95,407.65,398.30,395.65,400.43,421.90,132.50,4527644,"1,81,29,99,205.20",41153
22-Feb-21,EQ,396.15,413.85,396.15,395.65,407.00,406.10,407.81,421.90,132.50,9371697,"3,82,18,41,000.30",89653
23-Feb-21,EQ,410.00,416.20,406.10,406.10,415.00,412.60,411.23,421.90,132.50,8127742,"3,34,24,10,652.60",83690
24-Feb-21,EQ,415.00,426.60,400.00,412.60,407.15,408.10,417.62,426.60,132.50,10570509,"4,41,44,56,995.40",104057
25-Feb-21,EQ,411.00,425.00,410.00,408.10,421.00,421.75,419.53,426.60,132.50,9051315,"3,79,73,35,680.35",87374
26-Feb-21,EQ,412.05,421.30,392.05,421.75,395.55,395.45,404.07,426.60,132.50,11433748,"4,62,00,10,309.50",113220
01-Mar-21,EQ,402.60,408.45,393.35,395.45,406.50,405.10,402.64,426.60,132.50,5834233,"2,34,90,68,869.95",57040
02-Mar-21,EQ,406.80,414.95,401.00,405.10,412.25,413.30,408.73,426.60,132.50,5055665,"2,06,64,03,565.55",56226
03-Mar-21,EQ,415.30,435.00,415.30,413.30,426.80,428.15,429.76,435.00,132.50,11903775,"5,11,57,82,013.15",126647
04-Mar-21,EQ,415.10,421.40,411.05,428.15,415.50,414.10,415.64,435.00,132.50,8655068,"3,59,73,64,407.50",101812
05-Mar-21,EQ,414.10,414.10,402.50,414.10,408.00,406.40,407.85,435.00,132.50,7045618,"2,87,35,83,149.95",58350
08-Mar-21,EQ,411.95,415.50,406.50,406.40,407.65,407.85,411.19,435.00,132.50,4176709,"1,71,74,16,933.65",49276
09-Mar-21,EQ,412.00,414.75,396.80,407.85,401.50,401.60,405.84,435.00,132.50,5477847,"2,22,31,10,366.55",48681
10-Mar-21,EQ,406.55,415.30,403.50,401.60,413.80,414.00,409.84,435.00,132.50,6536253,"2,67,87,94,349.10",57528
12-Mar-21,EQ,418.15,428.45,414.00,414.00,417.75,418.75,422.19,435.00,132.50,13448994,"5,67,80,06,446.90",129908
15-Mar-21,EQ,422.90,431.75,414.90,418.75,428.95,429.65,423.41,435.00,132.50,10146579,"4,29,61,25,644.30",93657
16-Mar-21,EQ,433.95,433.95,419.35,429.65,427.15,425.95,425.06,435.00,132.50,8103798,"3,44,45,91,452.00",78346
17-Mar-21,EQ,425.95,425.95,417.50,425.95,420.70,422.50,421.88,435.00,132.50,4738590,"1,99,91,04,019.70",41735
18-Mar-21,EQ,427.00,432.65,420.10,422.50,424.20,423.15,426.38,435.00,132.50,6837030,"2,91,51,48,716.90",58927
19-Mar-21,EQ,420.10,446.30,410.00,423.15,439.90,440.55,431.15,446.30,132.50,11116495,"4,79,28,54,076.65",92328
22-Mar-21,EQ,441.00,449.00,436.80,440.55,445.40,445.30,442.55,449.00,132.50,7010923,"3,10,26,95,017.60",77180
23-Mar-21,EQ,445.00,447.25,439.50,445.30,441.95,441.80,442.71,449.00,132.50,5066287,"2,24,28,73,270.25",50060
24-Mar-21,EQ,437.00,443.15,431.60,441.80,439.25,437.35,437.28,449.00,132.50,7803892,"3,41,25,02,513.70",68805
25-Mar-21,EQ,437.05,442.20,428.50,437.35,437.20,438.00,436.91,449.00,132.50,10870751,"4,74,95,14,805.35",89282
26-Mar-21,EQ,443.60,452.25,436.20,438.00,444.00,445.20,445.44,452.25,132.50,12165673,"5,41,90,37,174.75",104589
30-Mar-21,EQ,455.00,470.20,452.20,445.20,467.35,467.45,464.69,470.20,132.50,17646211,"8,19,99,69,300.00",163332
31-Mar-21,EQ,467.35,473.80,461.30,467.45,469.80,468.45,469.81,473.80,132.50,7635784,"3,58,73,66,069.95",86795
01-Apr-21,EQ,470.55,512.95,470.00,468.45,505.50,508.75,497.36,512.95,132.50,35736230,"17,77,37,93,787.70",309434
05-Apr-21,EQ,513.50,522.00,503.20,508.75,519.50,517.50,514.15,522.00,145.45,29711225,"15,27,60,55,393.90",289831
06-Apr-21,EQ,523.00,541.30,520.65,517.50,537.00,537.45,532.59,541.30,145.45,26533367,"14,13,13,97,634.30",248328
07-Apr-21,EQ,539.25,566.45,533.20,537.45,566.10,562.30,551.79,566.45,145.45,20024702,"11,04,95,03,486.75",211011
08-Apr-21,EQ,572.00,639.00,563.25,562.30,616.20,614.10,605.82,639.00,145.45,72006147,"43,62,29,68,307.05",667821
09-Apr-21,EQ,618.00,630.85,598.00,614.10,621.50,621.00,613.07,639.00,145.45,51062079,"31,30,46,15,899.05",508304
12-Apr-21,EQ,609.00,621.75,597.40,621.00,605.00,604.15,607.89,639.00,152.60,27047004,"16,44,16,31,379.20",256395
13-Apr-21,EQ,607.00,632.80,604.00,604.15,629.00,630.35,617.66,639.00,152.60,26091257,"16,11,55,87,356.95",272622
15-Apr-21,EQ,638.00,644.00,616.00,630.35,626.05,629.10,628.60,644.00,152.60,24006650,"15,09,06,71,994.90",256928
16-Apr-21,EQ,631.90,635.90,616.95,629.10,617.45,619.40,627.62,644.00,152.60,14389029,"9,03,08,71,144.70",137539
19-Apr-21,EQ,600.00,625.50,595.10,619.40,614.20,615.80,613.16,644.00,152.60,17044636,"10,45,10,75,066.80",180876
20-Apr-21,EQ,622.80,630.00,613.40,615.80,619.45,620.60,621.88,644.00,152.60,13626064,"8,47,37,99,701.55",135037
22-Apr-21,EQ,615.70,651.00,611.60,620.60,639.05,640.75,638.82,651.00,152.60,22859059,"14,60,28,44,800.55",228611
23-Apr-21,EQ,641.00,652.80,625.85,640.75,634.70,635.40,640.20,652.80,152.60,17931094,"11,47,95,52,421.35",179209
26-Apr-21,EQ,642.00,660.70,638.25,635.40,657.00,655.80,651.46,660.70,155.00,16506538,"10,75,33,47,763.45",186271
27-Apr-21,EQ,660.65,670.35,658.00,655.80,666.35,665.90,664.15,670.35,155.00,15799458,"10,49,32,34,007.65",174214
28-Apr-21,EQ,669.75,676.00,650.65,665.90,662.50,662.65,661.63,676.00,155.00,15558949,"10,29,43,04,286.25",175365
29-Apr-21,EQ,672.00,728.90,668.05,662.65,726.20,726.50,704.40,728.90,155.00,56816962,"40,02,17,33,738.60",531808
30-Apr-21,EQ,719.60,740.00,711.45,726.50,713.70,717.85,723.92,740.00,155.00,36449711,"26,38,67,49,810.45",376696
03-May-21,EQ,714.00,730.00,710.60,717.85,723.25,723.25,721.48,740.00,162.10,16906171,"12,19,74,38,906.70",179640
04-May-21,EQ,727.95,737.50,711.25,723.25,715.70,715.40,722.29,740.00,162.10,13790054,"9,96,03,79,205.00",148401
05-May-21,EQ,723.00,733.00,713.10,715.40,718.50,717.70,722.14,740.00,162.10,12284261,"8,87,09,62,255.85",135213
06-May-21,EQ,721.30,742.00,718.00,717.70,731.05,729.80,729.80,742.00,162.10,18365325,"13,40,30,08,589.20",190337
07-May-21,EQ,738.00,766.70,736.75,729.80,754.50,756.95,750.76,766.70,162.10,26586556,"19,96,02,29,504.65",295714
10-May-21,EQ,765.90,773.00,756.05,756.95,759.25,758.65,763.00,773.00,162.10,15105182,"11,52,52,22,617.75",165664
11-May-21,EQ,741.00,754.80,730.55,758.65,733.00,734.25,741.40,773.00,162.10,16277517,"12,06,82,03,747.50",182726
12-May-21,EQ,740.00,741.90,700.00,734.25,708.95,707.90,722.06,773.00,162.10,14410802,"10,40,54,47,147.80",178981
14-May-21,EQ,709.95,721.50,679.05,707.90,707.20,707.10,702.57,773.00,162.10,26344309,"18,50,87,00,226.10",323156
17-May-21,EQ,707.90,722.40,694.05,707.10,716.00,714.40,708.49,773.00,162.10,12706884,"9,00,27,11,782.45",169656
18-May-21,EQ,723.85,731.10,711.85,714.40,715.70,717.45,721.68,773.00,162.10,9477286,"6,83,95,41,742.55",115697
19-May-21,EQ,713.05,720.35,704.10,717.45,705.80,705.85,711.26,773.00,162.10,6562006,"4,66,73,23,924.20",85885
20-May-21,EQ,698.00,703.40,683.20,705.85,698.10,694.50,694.67,773.00,162.10,10104850,"7,01,95,19,538.35",128440
21-May-21,EQ,701.35,705.90,695.00,694.50,697.10,698.20,699.82,773.00,162.10,7340528,"5,13,70,31,030.55",100379
24-May-21,EQ,697.00,697.00,671.90,698.20,682.50,681.45,681.28,773.00,168.00,22332409,"15,21,46,65,877.00",282901
25-May-21,EQ,689.00,714.50,688.05,681.45,702.00,700.80,705.06,773.00,168.00,22058890,"15,55,29,44,582.40",267333
26-May-21,EQ,686.30,691.00,673.55,700.80,683.85,682.20,682.18,773.00,168.00,18721303,"12,77,13,53,062.70",208899
27-May-21,EQ,684.90,694.35,678.00,682.20,682.30,681.85,684.84,773.00,168.00,15110958,"10,34,85,80,778.25",168500
28-May-21,EQ,697.80,708.80,686.20,681.85,690.25,689.80,698.34,773.00,168.00,12698590,"8,86,79,15,889.85",165575
31-May-21,EQ,694.00,714.20,685.95,689.80,712.20,710.90,701.86,773.00,175.45,11685565,"8,20,15,82,715.90",141246
01-Jun-21,EQ,716.50,716.95,687.50,710.90,695.00,694.50,696.38,773.00,175.45,14156453,"9,85,83,06,426.65",184159
02-Jun-21,EQ,697.00,709.05,696.55,694.50,707.00,706.05,702.42,773.00,175.45,9653111,"6,78,04,95,097.30",117077
03-Jun-21,EQ,710.00,720.85,703.05,706.05,711.80,714.10,712.20,773.00,175.45,8329454,"5,93,22,58,218.25",110303
04-Jun-21,EQ,708.05,726.00,703.05,714.10,719.80,721.20,715.32,773.00,175.45,9653847,"6,90,56,14,756.60",113757
07-Jun-21,EQ,722.60,730.75,712.80,721.20,715.60,715.75,722.48,773.00,175.45,6872666,"4,96,53,60,460.45",84451
08-Jun-21,EQ,714.30,714.30,692.00,715.75,706.35,707.50,702.87,773.00,175.45,8230750,"5,78,51,26,093.45",120287
09-Jun-21,EQ,705.00,713.35,693.55,707.50,698.50,697.85,704.43,773.00,175.45,6922786,"4,87,66,16,520.95",85793
10-Jun-21,EQ,701.30,719.00,700.00,697.85,707.15,705.80,710.91,773.00,175.45,8543092,"6,07,33,64,127.70",108163
11-Jun-21,EQ,714.00,734.10,704.75,705.80,732.50,731.20,720.03,773.00,175.45,11372473,"8,18,85,11,565.00",136918
14-Jun-21,EQ,732.65,737.20,714.65,731.20,728.10,729.15,729.09,773.00,179.95,10470356,"7,63,38,08,363.90",152448
15-Jun-21,EQ,728.00,732.40,717.00,729.15,724.60,725.10,727.16,773.00,179.95,5124845,"3,72,65,69,468.50",72521
16-Jun-21,EQ,720.00,728.90,703.55,725.10,706.80,705.40,711.13,773.00,179.95,9016464,"6,41,19,20,934.10",111650
17-Jun-21,EQ,702.10,711.00,693.45,705.40,696.50,696.35,702.33,773.00,179.95,5639158,"3,96,05,51,582.00",84261
18-Jun-21,EQ,695.50,696.40,656.10,696.35,673.40,670.60,671.42,773.00,179.95,13505600,"9,06,79,07,183.00",178369
21-Jun-21,EQ,656.90,676.30,646.15,670.60,673.00,672.95,665.36,773.00,185.65,8187341,"5,44,75,31,155.75",120678
22-Jun-21,EQ,676.00,682.50,673.25,672.95,674.80,675.25,677.36,773.00,185.65,5398107,"3,65,64,77,381.05",78211
23-Jun-21,EQ,679.00,685.00,664.15,675.25,665.70,665.50,674.86,773.00,185.65,6059813,"4,08,95,05,819.40",71917
24-Jun-21,EQ,669.60,681.50,664.90,665.50,680.50,679.00,676.24,773.00,185.65,6985183,"4,72,36,89,138.55",88369
25-Jun-21,EQ,685.00,702.35,685.00,679.00,690.00,689.50,693.84,773.00,185.65,9066409,"6,29,06,66,890.85",115334
28-Jun-21,EQ,692.90,701.35,682.75,689.50,694.00,695.35,694.23,773.00,185.65,5669654,"3,93,60,72,167.75",78227
29-Jun-21,EQ,695.00,696.50,683.60,695.35,686.40,685.90,688.46,773.00,185.65,4377422,"3,01,36,66,113.60",61495
30-Jun-21,EQ,687.05,698.00,682.65,685.90,685.20,683.90,691.05,773.00,185.65,6112824,"4,22,42,62,539.60",88993
01-Jul-21,EQ,687.80,690.00,679.60,683.90,680.60,680.55,683.48,773.00,185.65,4133198,"2,82,49,69,880.70",51489
02-Jul-21,EQ,681.05,682.95,667.50,680.55,672.10,671.30,672.90,773.00,185.65,5499982,"3,70,09,41,616.30",76322
05-Jul-21,EQ,673.00,675.00,664.45,671.30,673.80,672.75,669.71,773.00,190.25,5427717,"3,63,49,98,719.65",65824
06-Jul-21,EQ,672.75,681.70,669.45,672.75,672.95,673.15,675.13,773.00,190.25,4790854,"3,23,44,70,589.55",59591
07-Jul-21,EQ,671.80,694.00,669.00,673.15,691.45,690.40,683.00,773.00,190.25,8536360,"5,83,03,36,854.15",94778
08-Jul-21,EQ,688.00,691.45,666.65,690.40,668.80,668.25,677.03,773.00,190.25,7099529,"4,80,65,93,659.00",107127
09-Jul-21,EQ,671.00,683.60,670.00,668.25,681.25,681.55,676.81,773.00,190.25,7814242,"5,28,87,51,402.25",102520
12-Jul-21,EQ,685.00,703.75,680.85,681.55,692.30,694.45,693.84,773.00,191.65,11632489,"8,07,10,87,406.10",125756
13-Jul-21,EQ,698.00,703.50,694.00,694.45,701.00,701.40,700.15,773.00,191.65,6832695,"4,78,39,32,127.00",78901
14-Jul-21,EQ,704.00,705.85,694.20,701.40,698.80,700.40,700.47,773.00,191.65,5996797,"4,20,05,71,538.00",68497
15-Jul-21,EQ,700.00,707.95,696.05,700.40,698.95,699.10,701.46,773.00,191.65,4735495,"3,32,17,49,685.45",62746
16-Jul-21,EQ,703.50,707.00,700.70,699.10,702.10,703.60,703.81,773.00,191.65,3590287,"2,52,68,76,380.55",48055
19-Jul-21,EQ,697.00,712.35,694.00,703.60,697.55,698.40,702.36,773.00,200.10,5377227,"3,77,67,23,709.05",84436
20-Jul-21,EQ,697.65,698.00,675.40,698.40,683.10,682.00,685.94,773.00,200.10,5829609,"3,99,87,62,371.85",88162
22-Jul-21,EQ,689.90,722.60,689.05,682.00,722.00,716.55,707.08,773.00,200.10,9472817,"6,69,80,52,213.20",134586
23-Jul-21,EQ,726.90,727.00,712.00,716.55,717.40,717.55,719.60,773.00,200.10,8731309,"6,28,30,78,331.95",136416
26-Jul-21,EQ,729.50,729.50,701.00,717.55,704.60,704.55,709.84,773.00,200.10,14645713,"10,39,60,68,012.30",204671
27-Jul-21,EQ,709.85,717.90,703.30,704.55,709.55,710.65,712.19,773.00,200.10,6840353,"4,87,16,09,053.45",118747
