Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,101.40,101.85,96.05,101.40,96.40,96.65,97.69,126.75,50.00,33623461,"3,28,46,92,402.65",125844
19-Jan-21,EQ,97.75,99.00,97.50,96.65,98.35,98.10,98.18,126.75,50.00,26085121,"2,56,11,39,981.55",80794
20-Jan-21,EQ,99.00,99.80,97.85,98.10,98.50,98.85,98.72,126.75,50.00,18486566,"1,82,49,13,343.75",69775
21-Jan-21,EQ,99.05,100.20,93.90,98.85,95.55,94.70,97.02,126.75,50.00,26939349,"2,61,37,37,074.10",111539
22-Jan-21,EQ,94.60,95.45,92.50,94.70,92.95,92.75,93.78,126.75,50.00,27311961,"2,56,13,45,553.40",103612
25-Jan-21,EQ,93.05,93.75,90.00,92.75,92.00,91.35,91.38,118.50,50.00,28522112,"2,60,64,48,104.55",122623
27-Jan-21,EQ,91.40,91.75,88.90,91.35,89.95,89.70,90.09,118.50,50.00,34022621,"3,06,50,28,255.40",118857
28-Jan-21,EQ,89.00,91.40,88.80,89.70,90.65,90.65,90.31,118.50,50.00,26810222,"2,42,11,23,839.85",94075
29-Jan-21,EQ,90.75,92.95,87.75,90.65,89.25,88.30,90.22,118.50,50.00,33858273,"3,05,45,88,198.80",109804
01-Feb-21,EQ,89.00,91.20,88.45,88.30,90.95,90.85,89.90,109.75,50.00,24228098,"2,17,80,61,225.45",101167
02-Feb-21,EQ,92.50,93.95,91.20,90.85,93.30,92.85,92.53,109.75,50.00,22141489,"2,04,86,69,158.00",99290
03-Feb-21,EQ,94.60,95.30,93.00,92.85,93.55,93.35,93.69,109.75,50.00,25912911,"2,42,76,78,684.30",93356
04-Feb-21,EQ,94.25,98.60,94.00,93.35,97.80,97.65,97.33,109.75,50.00,49670027,"4,83,44,21,113.15",191374
05-Feb-21,EQ,98.95,99.95,96.80,97.65,97.80,97.65,98.33,109.75,50.00,30514219,"3,00,04,79,500.85",112662
08-Feb-21,EQ,99.50,100.80,99.10,97.65,99.50,99.65,99.94,109.15,50.00,29096831,"2,90,80,45,975.15",155984
09-Feb-21,EQ,99.80,103.35,99.80,99.65,101.15,101.00,102.08,109.15,50.00,39638657,"4,04,63,72,301.50",155055
