Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
19-Jul-21,EQ,2839.3,2845.75,2793,2841.7,2815,2821.05,"2,820.16","3,016.10",708,105393,"29,72,25,099.50",14605
20-Jul-21,EQ,2821.05,2854.25,2785,2821.05,2809.7,2805.65,"2,811.99","3,016.10",708,120761,"33,95,79,195.95",15434
22-Jul-21,EQ,2820,2872.3,2813.15,2805.65,2830,2828.6,"2,839.98","3,016.10",708,241575,"68,60,67,579.05",20334
23-Jul-21,EQ,3060,3130,2925,2828.6,3011.85,3039.15,"3,021.49","3,130.00",708,1837843,"5,55,30,29,324.50",126712
26-Jul-21,EQ,3036.95,3298,2973.65,3039.15,3225.05,3250.25,"3,184.82","3,298.00",839.95,1033196,"3,29,05,47,998.50",78237
27-Jul-21,EQ,3247,3247,3137,3250.25,3150,3163.1,"3,187.95","3,298.00",839.95,353672,"1,12,74,90,012.20",43596
28-Jul-21,EQ,3160,3182.05,3080.85,3163.1,3130,3098,"3,114.38","3,298.00",839.95,211409,"65,84,07,673.35",27636
29-Jul-21,EQ,3125,3178.85,3090,3098,3125,3123,"3,138.77","3,298.00",839.95,156704,"49,18,57,397.00",21617
30-Jul-21,EQ,3147,3198,3088.9,3123,3141,3143.2,"3,140.88","3,298.00",839.95,152268,"47,82,55,768.55",20844
02-Aug-21,EQ,3174.85,3192.1,3113.25,3143.2,3147.95,3137.15,"3,142.47","3,298.00",908,77996,"24,51,00,084.35",12348
03-Aug-21,EQ,3164,3167.95,3035.3,3137.15,3065,3065.6,"3,097.53","3,298.00",908,122500,"37,94,47,126.85",17809
04-Aug-21,EQ,3087,3117.55,2981.9,3065.6,3077.1,3058.65,"3,055.34","3,298.00",908,405330,"1,23,84,20,953.70",32852
05-Aug-21,EQ,3083,3179.95,3055.35,3058.65,3083,3085,"3,102.35","3,298.00",908,457541,"1,41,94,52,069.30",32189
06-Aug-21,EQ,3103.45,3145,3102.3,3085,3116.75,3118.4,"3,121.72","3,298.00",908,227594,"71,04,85,115.20",14927
09-Aug-21,EQ,3138.5,3159.1,3115.4,3118.4,3137,3130.55,"3,133.66","3,298.00",930.05,178102,"55,81,11,066.15",8449
10-Aug-21,EQ,3141,3195,3127.25,3130.55,3159,3160.55,"3,168.59","3,298.00",930.05,301257,"95,45,61,349.50",15240
11-Aug-21,EQ,3167,3185.85,3085,3160.55,3100,3095.55,"3,116.53","3,298.00",930.05,287709,"89,66,52,773.70",13401
12-Aug-21,EQ,3111.05,3178,3098.65,3095.55,3169,3167.45,"3,153.69","3,298.00",930.05,129752,"40,91,97,737.90",13751
13-Aug-21,EQ,3183.3,3188,3101,3167.45,3125,3124.45,"3,142.62","3,298.00",930.05,143693,"45,15,72,778.80",12105
16-Aug-21,EQ,3140,3160,3061.45,3124.45,3115,3113.95,"3,103.23","3,298.00",950,176894,"54,89,42,492.65",20127
17-Aug-21,EQ,3115.05,3268,3115.05,3113.95,3210,3211.9,"3,229.46","3,298.00",950,513459,"1,65,81,96,590.85",35931
18-Aug-21,EQ,3238.05,3255,3200,3211.9,3215,3214.45,"3,228.30","3,298.00",950,207237,"66,90,22,764.75",22128
20-Aug-21,EQ,3248,3248,3152.2,3214.45,3166,3181.7,"3,198.93","3,298.00",950,216525,"69,26,48,955.75",22261
23-Aug-21,EQ,3182,3225,3162,3181.7,3214.9,3214.4,"3,204.92","3,298.00",950,223706,"71,69,59,655.80",20687
24-Aug-21,EQ,3208,3286.95,3190,3214.4,3212.6,3215.2,"3,224.61","3,298.00",950,275167,"88,73,05,928.35",25564
25-Aug-21,EQ,3234,3275,3205.55,3215.2,3225,3226.35,"3,232.21","3,298.00",950,203310,"65,71,39,689.65",14781
26-Aug-21,EQ,3237,3244.4,3180,3226.35,3200,3214.35,"3,215.64","3,298.00",950,133896,"43,05,61,022.45",15512
27-Aug-21,EQ,3214.35,3265,3192.45,3214.35,3250.1,3253.5,"3,244.45","3,298.00",950,202773,"65,78,87,768.55",23964
30-Aug-21,EQ,3270,3337.55,3270,3253.5,3326,3323.35,"3,316.05","3,337.55",950,363223,"1,20,44,64,765.95",35298
31-Aug-21,EQ,3337.55,3358.85,3290,3323.35,3315,3322.05,"3,324.16","3,358.85",950,202938,"67,45,97,538.70",20447
01-Sep-21,EQ,3370,3465,3310,3322.05,3350,3333.05,"3,369.46","3,465.00",950,298549,"1,00,59,49,932.35",28779
02-Sep-21,EQ,3351,3415,3321,3333.05,3390,3382.95,"3,359.60","3,465.00",950,146994,"49,38,41,331.90",21394
03-Sep-21,EQ,3400,3465,3371,3382.95,3450,3441.35,"3,426.05","3,465.00",950,411343,"1,40,92,82,877.60",28818
06-Sep-21,EQ,3468,3550,3435.65,3441.35,3530,3531.7,"3,479.52","3,550.00",960,304948,"1,06,10,72,968.00",27503
07-Sep-21,EQ,3550,3578,3492,3531.7,3510.85,3514.05,"3,518.61","3,578.00",960,202103,"71,11,22,323.35",26156
08-Sep-21,EQ,3522,3535,3452,3514.05,3469,3462.8,"3,479.41","3,578.00",960,169039,"58,81,56,548.90",18507
09-Sep-21,EQ,3465.95,3525,3465.1,3462.8,3498,3495.5,"3,481.75","3,578.00",960,129416,"45,05,94,617.65",11541
13-Sep-21,EQ,3505.75,3650,3505.75,3495.5,3590,3587.7,"3,590.51","3,650.00","1,025.90",269344,"96,70,83,398.40",32497
