Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,1949.10,1997.00,1923.35,1937.45,1972.80,1983.95,1967.71,2369.35,875.65,16198856,"31,87,46,86,564.55",399642
19-Jan-21,EQ,1994.65,2031.00,1994.65,1983.95,2015.00,2016.40,2018.21,2369.35,875.65,14771048,"29,81,11,12,716.20",411707
20-Jan-21,EQ,2021.40,2058.00,2001.40,2016.40,2053.00,2054.70,2036.58,2369.35,875.65,14271669,"29,06,53,37,315.85",456106
21-Jan-21,EQ,2082.00,2120.00,2075.00,2054.70,2107.00,2099.40,2102.61,2369.35,875.65,18038987,"37,92,89,61,934.60",483168
22-Jan-21,EQ,2111.00,2115.35,2035.15,2099.40,2047.95,2049.60,2070.96,2369.35,875.65,14090818,"29,18,15,82,565.45",388593
25-Jan-21,EQ,2034.95,2034.95,1932.00,2049.60,1935.15,1941.00,1966.36,2369.35,875.65,25016570,"49,19,16,02,456.10",723194
27-Jan-21,EQ,1925.00,1925.00,1888.00,1941.00,1890.00,1895.00,1904.59,2369.35,875.65,19553809,"37,24,19,80,448.40",637355
28-Jan-21,EQ,1880.15,1923.30,1870.00,1895.00,1876.35,1876.55,1895.32,2369.35,875.65,15722291,"29,79,88,06,093.70",446576
29-Jan-21,EQ,1894.30,1913.10,1830.00,1876.55,1844.95,1841.95,1871.72,2369.35,875.65,20173258,"37,75,86,12,331.50",472678
01-Feb-21,EQ,1859.40,1905.00,1848.00,1841.95,1898.15,1895.30,1874.03,2369.35,875.65,15774504,"29,56,18,20,671.20",370120
02-Feb-21,EQ,1914.25,1940.00,1854.95,1895.30,1936.00,1925.80,1889.81,2369.35,875.65,19138414,"36,16,80,52,850.90",561567
03-Feb-21,EQ,1928.30,1952.00,1900.00,1925.80,1928.50,1930.65,1931.87,2369.35,875.65,13984228,"27,01,56,73,442.65",345625
04-Feb-21,EQ,1924.00,1940.00,1905.00,1930.65,1921.50,1924.30,1923.71,2369.35,875.65,11826848,"22,75,13,81,754.25",332784
05-Feb-21,EQ,1930.05,1944.65,1920.00,1924.30,1924.30,1923.75,1929.36,2369.35,875.65,9344470,"18,02,88,83,267.50",263144
08-Feb-21,EQ,1933.05,1969.00,1929.05,1923.75,1951.40,1951.45,1954.84,2369.35,875.65,9776136,"19,11,08,16,694.80",287247
09-Feb-21,EQ,1961.95,1989.60,1952.30,1951.45,1954.50,1956.15,1974.29,2369.35,875.65,9047308,"17,86,19,94,119.30",254384
10-Feb-21,EQ,1953.75,1984.75,1927.30,1956.15,1980.35,1974.30,1955.63,2369.35,875.65,9799560,"19,16,42,92,386.25",288994
11-Feb-21,EQ,1980.00,2064.20,1972.25,1974.30,2061.80,2055.70,2028.11,2369.35,875.65,19631870,"39,81,55,94,030.25",546129
12-Feb-21,EQ,2055.50,2078.00,2015.40,2055.70,2040.00,2041.60,2049.91,2369.35,875.65,14074374,"28,85,11,63,932.35",369938
15-Feb-21,EQ,2048.05,2061.30,2025.00,2041.60,2034.00,2032.60,2043.13,2369.35,875.65,7287590,"14,88,95,02,308.25",222500
16-Feb-21,EQ,2039.75,2079.40,2035.00,2032.60,2058.50,2059.50,2061.23,2369.35,875.65,9886093,"20,37,75,37,336.50",274329
17-Feb-21,EQ,2060.00,2095.95,2050.60,2059.50,2079.20,2083.25,2076.99,2369.35,875.65,10957388,"22,75,84,23,346.25",257784
18-Feb-21,EQ,2085.00,2108.40,2059.10,2083.25,2063.50,2067.70,2085.18,2369.35,875.65,8605531,"17,94,40,45,241.05",228157
19-Feb-21,EQ,2057.00,2104.95,2053.30,2067.70,2080.00,2080.30,2088.14,2369.35,875.65,10800704,"22,55,33,56,631.00",279181
22-Feb-21,EQ,2080.00,2089.90,1994.95,2080.30,1999.10,2008.10,2036.88,2369.35,875.65,10985697,"22,37,65,99,862.25",309112
23-Feb-21,EQ,2048.00,2052.90,2013.60,2008.10,2026.15,2023.45,2034.50,2369.35,875.65,11834752,"24,07,77,95,769.25",275466
24-Feb-21,EQ,2030.00,2065.25,2026.15,2023.45,2060.55,2061.00,2048.89,2369.35,875.65,4987735,"10,21,93,30,132.75",135224
25-Feb-21,EQ,2076.00,2152.00,2073.00,2061.00,2147.00,2144.35,2120.59,2369.35,875.65,16085897,"34,11,15,75,087.70",452535
26-Feb-21,EQ,2117.00,2133.90,2070.70,2144.35,2079.50,2085.80,2096.69,2369.35,875.65,17297575,"36,26,76,01,929.10",489066
01-Mar-21,EQ,2110.20,2112.00,2062.50,2085.80,2103.00,2101.70,2092.87,2369.35,875.65,8159670,"17,07,71,01,153.20",266082
02-Mar-21,EQ,2122.00,2130.00,2089.10,2101.70,2108.00,2106.00,2107.78,2369.35,875.65,7915073,"16,68,32,50,358.50",244565
03-Mar-21,EQ,2121.05,2219.90,2107.20,2106.00,2207.10,2202.10,2161.54,2369.35,875.65,14733134,"31,84,62,13,370.25",326092
04-Mar-21,EQ,2180.00,2189.95,2157.70,2202.10,2174.00,2175.85,2175.57,2369.35,875.65,9892597,"21,52,20,70,320.90",259806
05-Mar-21,EQ,2156.00,2211.95,2153.05,2175.85,2174.55,2178.70,2184.35,2369.35,875.65,11773630,"25,71,76,85,129.45",312784
08-Mar-21,EQ,2168.50,2231.90,2168.00,2178.70,2193.00,2191.10,2205.66,2369.35,875.65,9002404,"19,85,62,44,553.30",300037
09-Mar-21,EQ,2200.00,2213.80,2146.60,2191.10,2190.55,2191.05,2181.47,2369.35,875.65,6993792,"15,25,67,36,215.60",227932
10-Mar-21,EQ,2207.00,2215.10,2170.25,2191.05,2179.40,2181.95,2187.67,2369.35,875.65,5316182,"11,63,00,74,902.15",163700
12-Mar-21,EQ,2195.00,2206.40,2123.90,2181.95,2136.90,2137.60,2160.60,2369.35,875.65,7783173,"16,81,63,45,899.25",244889
15-Mar-21,EQ,2140.05,2148.90,2080.50,2137.60,2105.00,2108.90,2103.37,2369.35,875.65,7706302,"16,20,91,90,175.60",268696
16-Mar-21,EQ,2114.00,2126.00,2095.50,2108.90,2100.75,2100.60,2107.19,2369.35,875.65,6402757,"13,49,18,41,404.75",235823
17-Mar-21,EQ,2098.05,2103.00,2035.10,2100.60,2054.50,2055.35,2065.89,2369.35,875.65,8865521,"18,31,52,33,171.30",241456
18-Mar-21,EQ,2072.90,2084.80,2001.00,2055.35,2010.00,2009.10,2038.79,2369.35,875.65,9528809,"19,42,72,31,150.25",295771
19-Mar-21,EQ,1991.00,2095.85,1982.80,2009.10,2078.10,2082.00,2047.50,2369.35,875.65,19284892,"39,48,58,40,254.00",431829
22-Mar-21,EQ,2071.00,2074.00,2033.20,2082.00,2061.00,2062.40,2050.93,2369.35,875.65,8571196,"17,57,89,60,666.30",234534
23-Mar-21,EQ,2061.95,2109.70,2056.00,2062.40,2079.90,2087.50,2086.63,2369.35,875.65,8039865,"16,77,61,88,634.65",220527
24-Mar-21,EQ,2079.75,2079.75,2040.40,2087.50,2048.55,2047.30,2055.87,2369.35,875.65,7763726,"15,96,12,11,345.55",222445
25-Mar-21,EQ,2054.00,2054.00,1985.00,2047.30,1993.95,1991.45,2011.25,2369.35,875.65,10153757,"20,42,17,43,790.45",292881
26-Mar-21,EQ,2012.00,2013.70,1973.70,1991.45,1994.00,1994.65,1995.09,2369.35,875.65,9313160,"18,58,05,59,230.90",296946
30-Mar-21,EQ,2008.00,2048.90,1991.55,1994.65,2031.90,2029.30,2026.44,2369.35,1020.00,9433850,"19,11,71,49,421.75",230499
31-Mar-21,EQ,2018.00,2049.90,1999.00,2029.30,2005.65,2003.10,2017.21,2369.35,1020.00,7499740,"15,12,85,27,745.25",193340
01-Apr-21,EQ,2018.00,2030.00,2003.15,2003.10,2020.00,2021.85,2017.89,2369.35,1020.00,5410307,"10,91,74,11,938.75",140946
05-Apr-21,EQ,2024.95,2025.00,1962.10,2021.85,1992.00,1992.60,1986.24,2369.35,1100.00,6864856,"13,63,52,37,475.50",246459
06-Apr-21,EQ,2004.00,2004.95,1969.00,1992.60,1986.20,1984.30,1984.99,2369.35,1100.00,6465241,"12,83,34,69,592.40",209903
07-Apr-21,EQ,2000.00,2046.90,1993.30,1984.30,2001.55,2002.85,2019.21,2369.35,1100.00,11198918,"22,61,30,14,349.45",286779
08-Apr-21,EQ,2011.00,2022.00,1993.00,2002.85,2006.40,2005.35,2006.16,2369.35,1100.00,7092878,"14,22,94,31,685.15",191800
09-Apr-21,EQ,1998.45,2006.35,1980.00,2005.35,1983.45,1982.05,1989.08,2369.35,1100.00,6478482,"12,88,62,34,947.40",234390
12-Apr-21,EQ,1959.00,1961.40,1900.25,1982.05,1915.65,1911.15,1922.99,2369.35,1143.00,9646031,"18,54,92,12,834.60",330605
