Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,303.50,308.65,292.20,303.85,292.45,294.45,299.23,331.90,149.45,54969750,"16,44,83,26,413.65",332808
19-Jan-21,EQ,297.65,302.50,296.40,294.45,298.40,298.60,299.11,331.90,149.45,35803901,"10,70,92,41,852.55",226098
20-Jan-21,EQ,298.80,304.70,296.85,298.60,302.20,302.55,301.07,331.90,149.45,33759304,"10,16,39,81,891.75",215324
21-Jan-21,EQ,304.00,305.15,291.50,302.55,296.80,294.85,300.20,331.90,149.45,29995203,"9,00,45,13,072.45",214429
22-Jan-21,EQ,295.50,298.00,282.40,294.85,284.40,283.70,289.30,331.90,149.45,44440810,"12,85,66,79,880.75",287829
25-Jan-21,EQ,284.50,288.00,277.05,283.70,281.00,280.95,283.38,331.90,149.45,34034630,"9,64,48,29,100.75",246225
27-Jan-21,EQ,280.20,284.85,272.70,280.95,275.00,275.65,278.67,331.90,149.45,39211107,"10,92,67,69,347.95",275743
28-Jan-21,EQ,271.90,283.35,269.50,275.65,282.90,282.35,277.04,331.90,149.45,48717297,"13,49,66,76,252.60",280797
29-Jan-21,EQ,285.60,290.65,279.10,282.35,281.75,282.10,283.48,331.90,149.45,42300984,"11,99,12,82,593.15",257824
01-Feb-21,EQ,285.10,313.90,282.75,282.10,313.00,310.70,300.59,331.90,149.45,103414068,"31,08,56,67,892.60",571788
02-Feb-21,EQ,315.00,337.40,315.00,310.70,331.40,333.10,325.89,337.40,149.45,121434166,"39,57,38,55,924.20",696797
03-Feb-21,EQ,333.75,339.90,325.80,333.10,335.75,335.95,334.10,339.90,149.45,66420168,"22,19,08,82,737.05",464739
04-Feb-21,EQ,334.40,358.00,331.10,335.95,357.95,355.10,343.11,358.00,149.45,145203439,"49,82,13,24,982.70",799597
05-Feb-21,EQ,387.00,408.35,385.15,355.10,395.00,393.10,397.71,408.35,149.45,214955688,"85,49,08,25,741.15",1155236
08-Feb-21,EQ,398.00,407.80,394.75,393.10,395.85,397.05,400.46,408.35,149.45,79389205,"31,79,19,40,012.35",577218
09-Feb-21,EQ,396.75,403.50,389.00,397.05,393.60,394.80,396.65,408.35,149.45,63869990,"25,33,42,26,190.80",473516
10-Feb-21,EQ,394.05,397.90,388.00,394.80,393.15,392.25,392.67,408.35,149.45,54163507,"21,26,82,36,419.55",395057
11-Feb-21,EQ,391.80,396.95,388.25,392.25,390.90,390.15,391.61,408.35,149.45,36392708,"14,25,15,81,159.75",263431
12-Feb-21,EQ,391.00,399.35,385.55,390.15,392.95,393.15,392.34,408.35,149.45,53589755,"21,02,51,51,735.35",406441
15-Feb-21,EQ,397.50,409.45,395.70,393.15,409.00,406.95,403.08,409.45,149.45,56608937,"22,81,78,66,647.70",439746
16-Feb-21,EQ,412.00,415.75,400.30,406.95,402.90,402.35,407.39,415.75,149.45,80365431,"32,73,98,56,842.50",574557
17-Feb-21,EQ,403.00,414.85,400.15,402.35,413.40,411.75,410.54,415.75,149.45,74161370,"30,44,61,29,688.40",499222
18-Feb-21,EQ,425.05,427.70,413.70,411.75,415.25,415.20,419.02,427.70,149.45,67154539,"28,13,88,20,418.00",583049
19-Feb-21,EQ,415.00,415.00,395.00,415.20,400.60,399.55,405.06,427.70,149.45,66155518,"26,79,70,82,795.65",479710
22-Feb-21,EQ,400.60,401.00,385.65,399.55,387.95,389.50,392.32,427.70,149.45,52535049,"20,61,03,38,694.55",443311
23-Feb-21,EQ,392.00,399.70,389.00,389.50,395.60,395.60,395.45,427.70,149.45,45462768,"17,97,82,02,667.40",342766
24-Feb-21,EQ,397.00,410.50,395.20,395.60,407.70,406.25,404.08,427.70,149.45,39632090,"16,01,46,88,399.65",340087
25-Feb-21,EQ,411.00,414.90,406.55,406.25,407.40,407.25,410.68,427.70,149.45,46988836,"19,29,72,89,930.90",355281
26-Feb-21,EQ,399.50,401.00,387.00,407.25,391.25,390.15,393.88,427.70,149.45,64450414,"25,38,58,62,094.55",536209
01-Mar-21,EQ,395.10,397.70,391.00,390.15,395.20,394.95,394.72,427.70,149.45,29677890,"11,71,44,76,577.25",245987
02-Mar-21,EQ,395.00,399.55,390.55,394.95,394.80,394.20,394.42,427.70,149.45,30534337,"12,04,33,48,694.15",249193
03-Mar-21,EQ,396.50,408.90,396.00,394.20,404.70,405.05,404.09,427.70,149.45,46268223,"18,69,64,86,626.10",326940
04-Mar-21,EQ,398.70,403.50,394.45,405.05,396.80,395.65,399.48,427.70,149.45,43603653,"17,41,89,74,266.05",285942
05-Mar-21,EQ,395.00,395.00,378.10,395.65,385.35,383.65,384.66,427.70,149.45,72179228,"27,76,43,14,247.65",599426
08-Mar-21,EQ,388.45,393.40,386.05,383.65,390.10,389.60,389.52,427.70,149.45,39147858,"15,24,89,77,633.60",297783
09-Mar-21,EQ,393.45,394.90,382.25,389.60,387.90,387.60,389.13,427.70,149.45,28054083,"10,91,67,75,125.45",220873
10-Mar-21,EQ,391.10,393.00,385.70,387.60,388.20,387.70,388.21,427.70,149.45,22677399,"8,80,34,97,252.15",187380
12-Mar-21,EQ,391.70,393.20,377.50,387.70,381.10,381.10,385.33,427.70,149.45,35336355,"13,61,62,21,812.00",296998
15-Mar-21,EQ,382.50,386.00,369.35,381.10,385.60,383.90,375.54,427.70,149.45,42722976,"16,04,43,28,007.40",414882
16-Mar-21,EQ,385.60,387.85,376.10,383.90,378.90,378.55,380.21,427.70,149.45,38196452,"14,52,26,81,456.30",300656
17-Mar-21,EQ,378.20,379.65,366.05,378.55,366.90,368.15,373.37,427.70,149.45,33143064,"12,37,47,60,126.65",298083
18-Mar-21,EQ,371.50,375.00,361.10,368.15,368.20,367.10,368.98,427.70,149.45,39405038,"14,53,95,39,833.05",285769
19-Mar-21,EQ,363.95,372.90,357.25,367.10,372.40,371.15,366.26,427.70,149.45,60309145,"22,08,86,37,777.60",400389
22-Mar-21,EQ,372.00,372.80,363.50,371.15,367.60,367.00,367.73,427.70,149.45,28461974,"10,46,61,93,186.85",242100
23-Mar-21,EQ,368.70,377.95,367.05,367.00,372.30,372.70,372.08,427.70,149.45,41032380,"15,26,72,04,770.70",304725
24-Mar-21,EQ,368.50,369.05,358.65,372.70,360.10,359.85,363.63,427.70,149.45,42318999,"15,38,85,74,651.55",385721
25-Mar-21,EQ,360.00,360.85,345.20,359.85,356.30,355.20,353.03,427.70,149.45,57495003,"20,29,72,00,346.20",438853
26-Mar-21,EQ,360.00,362.00,354.55,355.20,358.50,357.20,358.14,427.70,149.45,40718848,"14,58,32,00,892.30",407233
30-Mar-21,EQ,360.10,364.30,356.30,357.20,360.50,360.80,360.57,427.70,149.45,39407496,"14,20,92,35,599.60",340842
31-Mar-21,EQ,360.30,367.85,357.95,360.80,364.50,364.30,363.98,427.70,149.45,38651025,"14,06,82,75,303.30",298129
01-Apr-21,EQ,367.70,371.90,363.10,364.30,370.95,370.65,367.07,427.70,149.45,31883453,"11,70,36,03,342.10",201211
