Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,601.50,601.50,581.00,602.40,582.80,584.75,589.52,634.90,213.70,3346718,"1,97,29,49,731.50",68749
19-Jan-21,EQ,590.00,591.00,577.35,584.75,582.40,582.70,582.29,634.90,213.70,5743934,"3,34,46,54,201.60",105986
20-Jan-21,EQ,588.00,602.70,583.60,582.70,598.00,596.65,595.91,634.90,213.70,6156865,"3,66,89,47,018.05",102282
21-Jan-21,EQ,603.40,612.75,590.05,596.65,599.30,595.25,604.53,634.90,213.70,4506198,"2,72,41,39,314.40",64521
22-Jan-21,EQ,599.20,606.90,582.60,595.25,585.50,584.75,595.98,634.90,213.70,4307126,"2,56,69,73,908.05",62947
25-Jan-21,EQ,587.80,589.85,570.00,584.75,573.55,573.60,578.74,634.90,213.70,2016556,"1,16,70,58,870.35",42891
27-Jan-21,EQ,573.00,588.55,566.55,573.60,573.00,572.65,578.75,634.90,213.70,3662455,"2,11,96,47,818.45",72804
28-Jan-21,EQ,571.90,576.00,561.50,572.65,565.50,564.60,566.14,634.90,213.70,4769073,"2,69,99,66,124.95",79782
29-Jan-21,EQ,574.00,574.00,554.25,564.60,555.00,559.80,565.14,634.90,213.70,3593336,"2,03,07,36,747.70",85816
01-Feb-21,EQ,563.00,588.75,554.35,559.80,588.50,584.15,571.02,634.90,213.70,4707518,"2,68,80,71,446.75",79921
02-Feb-21,EQ,590.00,596.40,567.15,584.15,575.95,575.35,576.38,634.90,213.70,5713446,"3,29,31,27,783.45",85412
03-Feb-21,EQ,589.00,598.00,571.00,575.35,579.80,580.15,585.43,634.90,213.70,10599727,"6,20,53,67,264.25",153279
04-Feb-21,EQ,585.00,590.00,577.55,580.15,588.60,588.05,584.37,634.90,213.70,3816120,"2,23,00,37,918.70",49090
05-Feb-21,EQ,593.90,600.00,589.20,588.05,592.95,592.50,595.49,634.90,213.70,5918498,"3,52,43,88,973.60",98195
08-Feb-21,EQ,595.00,604.80,594.90,592.50,598.00,597.10,600.29,634.90,213.70,3970852,"2,38,36,78,616.90",99098
09-Feb-21,EQ,597.00,607.50,594.55,597.10,598.75,598.70,601.94,634.90,213.70,3072281,"1,84,93,23,900.50",54668
10-Feb-21,EQ,600.75,605.95,597.30,598.70,602.00,600.75,601.81,634.90,213.70,2435907,"1,46,59,49,464.70",39565
11-Feb-21,EQ,603.30,622.00,598.35,600.75,611.00,610.35,614.53,634.90,213.70,7033762,"4,32,24,76,064.20",90860
12-Feb-21,EQ,616.20,616.20,603.50,610.35,607.00,607.50,607.93,634.90,213.70,3621853,"2,20,18,22,584.05",45177
15-Feb-21,EQ,608.00,625.50,607.40,607.50,625.50,623.10,616.32,634.90,213.70,3234989,"1,99,37,94,979.65",55471
16-Feb-21,EQ,629.90,634.95,617.55,623.10,628.15,628.35,627.15,634.95,213.70,6418986,"4,02,56,91,649.05",115263
17-Feb-21,EQ,636.00,645.70,624.25,628.35,632.85,632.15,633.90,645.70,213.70,8556599,"5,42,40,49,396.50",140067
18-Feb-21,EQ,637.45,643.40,621.15,632.15,623.95,624.00,630.86,645.70,213.70,4457424,"2,81,20,11,709.00",60277
19-Feb-21,EQ,624.00,626.10,610.45,624.00,617.70,616.95,618.82,645.70,213.70,3013104,"1,86,45,56,914.70",52868
22-Feb-21,EQ,619.00,623.55,612.00,616.95,618.95,618.30,617.83,645.70,213.70,3020000,"1,86,58,55,682.10",45404
23-Feb-21,EQ,619.90,635.00,616.00,618.30,629.00,627.50,628.22,645.70,213.70,4222282,"2,65,25,23,890.45",61689
24-Feb-21,EQ,654.00,654.00,615.00,627.50,624.00,625.95,636.57,654.00,213.70,10479819,"6,67,10,93,211.35",174846
25-Feb-21,EQ,628.90,639.15,624.35,625.95,629.00,628.50,629.57,654.00,213.70,4977348,"3,13,35,81,454.50",80771
26-Feb-21,EQ,625.00,625.90,604.50,628.50,606.00,609.15,614.79,654.00,213.70,5547291,"3,41,03,95,483.30",112396
01-Mar-21,EQ,614.90,628.50,609.20,609.15,627.05,624.55,618.76,654.00,213.70,2530243,"1,56,56,03,834.65",51929
02-Mar-21,EQ,628.50,636.00,622.00,624.55,631.35,632.35,629.65,654.00,213.70,3051386,"1,92,13,08,201.50",54560
03-Mar-21,EQ,635.00,648.00,633.00,632.35,637.50,636.90,639.74,654.00,213.70,3601961,"2,30,43,07,931.25",71634
04-Mar-21,EQ,634.90,643.85,628.80,636.90,632.00,631.10,635.89,654.00,213.70,2621353,"1,66,68,91,185.10",44422
05-Mar-21,EQ,633.70,643.50,618.00,631.10,623.60,622.65,629.58,654.00,213.70,2839628,"1,78,77,60,575.10",63490
08-Mar-21,EQ,626.90,628.20,615.00,622.65,616.00,616.05,620.19,654.00,213.70,1939925,"1,20,31,29,619.15",39057
09-Mar-21,EQ,618.80,620.90,602.00,616.05,612.40,611.70,610.46,654.00,213.70,3065358,"1,87,12,75,874.80",67341
10-Mar-21,EQ,616.80,623.65,615.00,611.70,621.50,620.95,619.18,654.00,213.70,2778304,"1,72,02,66,180.60",73925
12-Mar-21,EQ,623.00,624.80,613.40,620.95,614.90,615.25,618.56,654.00,213.70,1884687,"1,16,57,92,316.75",36218
15-Mar-21,EQ,617.10,618.80,602.40,615.25,608.85,607.65,607.85,654.00,213.70,2765589,"1,68,10,58,148.05",60437
16-Mar-21,EQ,611.55,618.00,608.50,607.65,611.90,610.65,612.24,654.00,213.70,2480801,"1,51,88,47,029.65",51812
17-Mar-21,EQ,612.00,612.40,600.10,610.65,602.95,603.35,604.71,654.00,213.70,2263020,"1,36,84,76,908.25",51053
18-Mar-21,EQ,606.00,608.20,587.00,603.35,597.50,594.90,596.15,654.00,213.70,3387208,"2,01,92,87,336.15",71183
19-Mar-21,EQ,590.00,607.65,577.05,594.90,601.00,600.25,597.18,654.00,213.70,4874177,"2,91,07,79,426.85",73936
22-Mar-21,EQ,603.00,623.05,596.25,600.25,621.50,620.55,613.59,654.00,213.70,3154483,"1,93,55,59,868.35",53177
23-Mar-21,EQ,621.00,640.00,620.55,620.55,633.50,634.10,633.71,654.00,213.70,4940745,"3,13,09,85,932.45",79630
24-Mar-21,EQ,632.80,639.15,624.65,634.10,632.10,629.10,630.60,654.00,213.70,2938251,"1,85,28,64,797.55",52557
25-Mar-21,EQ,634.00,634.20,611.00,629.10,613.00,614.85,616.73,654.00,213.70,2981311,"1,83,86,61,921.60",61244
26-Mar-21,EQ,620.00,634.95,615.10,614.85,628.00,628.30,626.34,654.00,213.70,3557256,"2,22,80,68,855.75",54981
30-Mar-21,EQ,630.85,637.60,617.55,628.30,630.70,628.90,628.06,654.00,264.00,19895352,"12,49,54,39,318.05",110012
31-Mar-21,EQ,630.00,645.70,630.00,628.90,636.50,638.90,637.81,654.00,264.00,4424477,"2,82,19,61,354.70",73298
01-Apr-21,EQ,641.00,652.95,640.65,638.90,650.10,650.15,647.78,654.00,264.00,3844057,"2,49,00,89,082.15",63736
05-Apr-21,EQ,651.95,651.95,639.20,650.15,641.90,644.95,645.41,654.00,271.00,3568896,"2,30,33,88,331.45",58587
06-Apr-21,EQ,645.20,679.00,638.10,644.95,675.00,674.55,665.47,679.00,271.00,7636739,"5,08,19,84,479.00",118411
