Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
44214.00,EQ,261.65,262.45,241.15,260.30,244.50,245.95,249.46,264.65,63.50,173383224.00,43251333303.50,651158.00
44215.00,EQ,251.50,261.70,251.30,245.95,258.75,258.65,256.26,264.65,63.50,136861059.00,35072393058.90,522685.00
44216.00,EQ,260.00,277.50,258.85,258.65,274.40,274.90,271.49,277.50,63.50,205145151.00,55695362793.25,828086.00
44217.00,EQ,281.00,299.00,280.00,274.90,292.45,290.60,291.38,299.00,63.50,283614463.00,82638647239.00,1124524.00
44218.00,EQ,295.95,306.90,278.35,290.60,290.85,289.35,296.37,306.90,63.50,316008609.00,93656707364.20,1318669.00
44221.00,EQ,296.90,299.50,277.35,289.35,278.70,279.15,284.75,306.90,63.50,164346913.00,46797325645.85,726552.00
44223.00,EQ,274.90,275.00,265.70,279.15,266.75,267.50,269.62,306.90,63.50,126586833.00,34130526615.40,577227.00
44224.00,EQ,260.05,273.40,259.05,267.50,266.00,266.80,266.80,306.90,63.50,129156876.00,34459498740.45,543019.00
44225.00,EQ,273.00,278.80,260.60,266.80,262.35,262.70,270.74,306.90,63.50,138442348.00,37481389731.10,588270.00
44228.00,EQ,269.75,282.00,255.35,262.70,280.30,279.60,269.60,306.90,63.50,165655500.00,44660633817.45,797774.00
44229.00,EQ,293.60,328.85,290.40,279.60,326.95,322.00,308.75,328.85,63.50,251965965.00,77794818724.65,1201928.00
44230.00,EQ,339.20,341.90,326.20,322.00,331.20,331.00,334.33,341.90,63.50,224190114.00,74954516287.10,1057040.00
44231.00,EQ,329.00,334.50,322.45,331.00,326.10,326.15,328.68,341.90,63.50,121033002.00,39781597113.25,693061.00
44232.00,EQ,327.60,330.00,312.60,326.15,318.45,315.90,319.24,341.90,63.50,103512235.00,33045500229.25,620367.00
44235.00,EQ,318.75,339.25,318.00,315.90,336.55,335.95,328.10,341.90,63.50,102123614.00,33506955689.95,597813.00
44236.00,EQ,337.00,338.50,322.20,335.95,325.85,325.05,328.65,341.90,63.50,105981081.00,34830328895.75,596440.00
44237.00,EQ,326.00,332.65,319.50,325.05,328.55,328.90,325.62,341.90,63.50,93466949.00,30434833762.05,474065.00
44238.00,EQ,326.45,331.35,323.40,328.90,324.90,325.00,326.77,341.90,63.50,55257166.00,18056563766.25,317814.00
44239.00,EQ,326.40,330.50,321.25,325.00,324.55,325.40,326.36,341.90,63.50,64093642.00,20917450086.00,344490.00
44242.00,EQ,329.90,335.80,324.00,325.40,331.90,333.35,329.83,341.90,63.50,78680452.00,25950795655.45,418089.00
44243.00,EQ,335.45,337.90,327.50,333.35,329.00,329.20,331.95,341.90,63.50,65943843.00,21890304400.55,349911.00
44244.00,EQ,326.90,334.25,325.45,329.20,329.70,330.15,329.78,341.90,63.50,52150941.00,17198462740.05,288923.00
44245.00,EQ,331.50,331.75,321.10,330.15,323.00,323.85,327.39,341.90,63.50,49204247.00,16108957682.00,305338.00
44246.00,EQ,321.95,321.95,301.40,323.85,312.45,311.85,313.32,341.90,63.50,80274683.00,25151576757.90,516227.00
44249.00,EQ,312.45,313.90,302.15,311.85,302.60,304.50,308.00,341.90,63.50,57723298.00,17778579106.10,341152.00
44250.00,EQ,308.50,328.90,308.50,304.50,324.60,324.00,319.80,341.90,63.50,133310157.00,42632430245.10,696488.00
44251.00,EQ,325.00,330.00,316.50,324.00,321.20,321.65,324.47,341.90,63.50,50821757.00,16489974873.85,287089.00
44252.00,EQ,325.35,334.70,323.25,321.65,333.60,333.15,328.91,341.90,63.50,64514912.00,21219567491.35,352535.00
44253.00,EQ,323.00,332.95,318.85,333.15,321.90,322.95,324.69,341.90,63.50,91901339.00,29839213809.50,493729.00
44256.00,EQ,330.00,331.85,322.70,322.95,327.70,328.30,327.28,341.90,63.50,61190868.00,20026665753.85,352381.00
44257.00,EQ,331.10,347.20,326.45,328.30,345.25,345.75,339.18,347.20,63.50,127708761.00,43316483891.45,728843.00
44258.00,EQ,348.65,357.00,346.50,345.75,347.10,348.50,351.70,357.00,63.50,92006451.00,32358533060.50,527778.00
44259.00,EQ,339.00,345.40,337.30,348.50,340.00,339.20,341.50,357.00,63.50,59863169.00,20443508606.45,365276.00
44260.00,EQ,333.00,337.85,319.70,339.20,326.45,325.15,329.04,357.00,63.50,86738909.00,28540486583.50,511915.00
44263.00,EQ,331.75,331.75,318.80,325.15,321.35,321.25,324.40,357.00,63.50,81925952.00,26576757573.30,547672.00
44264.00,EQ,325.00,328.35,309.60,321.25,315.15,315.20,318.35,357.00,63.50,74702208.00,23781468293.10,443980.00
44265.00,EQ,319.50,324.45,316.70,315.20,321.75,321.45,321.13,357.00,63.50,58643853.00,18832196592.95,332869.00
44267.00,EQ,325.05,326.50,314.15,321.45,317.45,317.55,320.29,357.00,63.50,48360842.00,15489475023.45,319107.00
44270.00,EQ,320.00,320.40,310.05,317.55,318.20,318.55,314.73,357.00,63.50,45083228.00,14188906470.40,307122.00
44271.00,EQ,321.00,321.90,315.10,318.55,319.00,319.95,318.53,357.00,63.50,39267404.00,12507925887.45,228406.00
44272.00,EQ,318.60,320.00,304.00,319.95,305.50,305.80,312.19,357.00,63.50,47262481.00,14755101722.35,315250.00
44273.00,EQ,311.00,316.60,299.75,305.80,308.00,307.00,309.64,357.00,63.50,73731921.00,22830626649.15,422219.00
44274.00,EQ,303.50,311.00,290.20,307.00,308.20,308.95,302.07,357.00,63.50,109932681.00,33207043605.15,562664.00
