Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,998.00,1013.80,991.95,1007.30,994.15,998.25,1002.63,1081.55,471.40,4659705,"4,67,19,67,456.60",136456
19-Jan-21,EQ,1006.60,1008.45,987.20,998.25,995.50,992.50,995.88,1081.55,471.40,4416027,"4,39,78,39,370.45",110734
20-Jan-21,EQ,997.00,1023.40,997.00,992.50,1019.45,1019.45,1016.24,1081.55,471.40,4687853,"4,76,39,83,175.15",93591
21-Jan-21,EQ,1026.00,1033.35,994.50,1019.45,1008.00,1004.70,1013.27,1081.55,471.40,3911527,"3,96,34,42,465.30",105731
22-Jan-21,EQ,1004.70,1005.00,975.00,1004.70,982.00,980.85,985.26,1081.55,471.40,3922421,"3,86,45,89,494.05",121187
25-Jan-21,EQ,985.85,997.90,962.20,980.85,977.00,972.05,980.72,1081.55,471.40,2751784,"2,69,87,19,126.80",69731
27-Jan-21,EQ,978.00,1004.90,973.65,972.05,997.55,997.10,991.82,1081.55,471.40,6975618,"6,91,85,84,885.80",123094
28-Jan-21,EQ,990.00,990.00,965.00,997.10,982.00,981.60,974.94,1081.55,471.40,4274190,"4,16,70,99,444.90",107154
29-Jan-21,EQ,990.10,995.90,956.00,981.60,961.05,961.40,974.13,1081.55,471.40,4425911,"4,31,14,11,799.45",100507
01-Feb-21,EQ,961.90,961.90,921.15,961.40,947.95,941.75,938.77,1081.55,471.40,6321189,"5,93,41,23,442.80",205929
02-Feb-21,EQ,955.00,972.90,937.50,941.75,957.00,957.20,952.03,1081.55,471.40,4971530,"4,73,30,35,432.85",151720
03-Feb-21,EQ,965.00,1000.00,960.10,957.20,983.90,981.45,984.43,1081.55,471.40,5640121,"5,55,23,15,235.15",123433
04-Feb-21,EQ,987.95,988.00,964.30,981.45,968.60,969.20,970.87,1081.55,471.40,4232910,"4,10,95,94,826.30",112818
05-Feb-21,EQ,972.35,980.85,950.05,969.20,960.00,959.40,962.01,1081.55,471.40,3077720,"2,96,08,03,877.80",66606
08-Feb-21,EQ,969.80,993.00,960.55,959.40,984.00,982.55,979.64,1081.55,471.40,3713579,"3,63,79,81,430.95",102104
09-Feb-21,EQ,978.60,999.80,967.25,982.55,975.95,975.10,985.09,1081.55,471.40,3086774,"3,04,07,39,956.50",85972
10-Feb-21,EQ,975.50,980.25,957.60,975.10,977.00,974.90,969.06,1081.55,471.40,2776301,"2,69,04,06,933.80",101957
11-Feb-21,EQ,975.00,988.65,972.85,974.90,987.00,985.60,981.06,1081.55,471.40,2070435,"2,03,12,20,317.00",57714
12-Feb-21,EQ,990.00,1009.00,986.25,985.60,989.00,991.20,997.15,1081.55,471.40,5863879,"5,84,71,88,678.15",121883
15-Feb-21,EQ,996.00,996.00,977.50,991.20,982.90,979.20,984.46,1081.55,471.40,2487825,"2,44,91,67,905.60",59893
16-Feb-21,EQ,990.00,1000.00,973.50,979.20,986.50,986.80,987.12,1081.55,471.40,3912433,"3,86,20,22,942.95",109772
17-Feb-21,EQ,989.00,996.60,971.40,986.80,981.50,980.45,981.79,1081.55,471.40,2227724,"2,18,71,52,817.90",60444
18-Feb-21,EQ,982.00,1015.50,981.50,980.45,1013.65,1010.60,999.29,1081.55,471.40,6742595,"6,73,78,01,436.90",139766
