Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,1467.00,1509.00,1460.00,1477.25,1498.00,1503.55,1489.77,1621.35,720.90,2302268,"3,42,98,59,126.50",78782
19-Jan-21,EQ,1518.00,1524.00,1501.00,1503.55,1516.10,1519.90,1514.38,1621.35,720.90,2279346,"3,45,17,87,304.65",71594
20-Jan-21,EQ,1519.90,1541.00,1519.90,1519.90,1530.00,1531.30,1532.32,1621.35,720.90,1838240,"2,81,67,69,367.20",64168
21-Jan-21,EQ,1533.10,1549.85,1512.05,1531.30,1521.55,1517.30,1533.83,1621.35,720.90,1558030,"2,38,97,48,659.30",57769
22-Jan-21,EQ,1522.00,1534.70,1487.00,1517.30,1489.80,1491.20,1506.33,1621.35,720.90,1364197,"2,05,49,27,569.75",45882
25-Jan-21,EQ,1505.05,1512.80,1478.75,1491.20,1498.60,1499.85,1494.60,1621.35,720.90,1604484,"2,39,80,65,586.50",50816
27-Jan-21,EQ,1505.00,1505.00,1432.00,1499.85,1437.00,1440.70,1465.05,1621.35,720.90,2021747,"2,96,19,54,613.80",87570
28-Jan-21,EQ,1420.00,1454.45,1415.65,1440.70,1448.10,1450.10,1440.29,1621.35,720.90,1850239,"2,66,48,89,639.10",61483
29-Jan-21,EQ,1456.00,1469.25,1415.25,1450.10,1422.00,1420.30,1439.44,1621.35,720.90,2435997,"3,50,64,75,243.70",62294
01-Feb-21,EQ,1437.80,1508.55,1423.65,1420.30,1505.75,1501.55,1469.39,1621.35,720.90,2215933,"3,25,60,60,141.60",74312
02-Feb-21,EQ,1515.00,1536.00,1482.00,1501.55,1488.00,1485.45,1504.37,1621.35,720.90,1974202,"2,96,99,30,201.00",65640
03-Feb-21,EQ,1492.00,1529.00,1492.00,1485.45,1520.10,1525.15,1518.24,1621.35,720.90,1853072,"2,81,34,15,047.10",66399
04-Feb-21,EQ,1530.00,1540.00,1488.10,1525.15,1511.95,1513.60,1507.87,1621.35,720.90,2728965,"4,11,49,24,472.35",79930
05-Feb-21,EQ,1518.55,1538.95,1504.50,1513.60,1512.65,1509.45,1519.44,1621.35,720.90,1344007,"2,04,21,36,165.75",52568
08-Feb-21,EQ,1514.00,1564.85,1510.05,1509.45,1544.95,1541.70,1544.44,1621.35,720.90,2683198,"4,14,40,44,814.50",87166
09-Feb-21,EQ,1548.00,1584.65,1543.05,1541.70,1562.00,1559.90,1570.09,1621.35,720.90,2364475,"3,71,24,37,657.75",86080
10-Feb-21,EQ,1575.40,1588.00,1526.00,1559.90,1585.00,1563.15,1546.89,1621.35,720.90,2125469,"3,28,78,63,913.05",82319
11-Feb-21,EQ,1552.00,1575.90,1511.25,1563.15,1524.90,1524.70,1527.93,1621.35,720.90,5970196,"9,12,20,42,689.90",157887
12-Feb-21,EQ,1536.70,1536.70,1491.00,1524.70,1495.00,1494.20,1510.01,1621.35,720.90,3284441,"4,95,95,44,234.80",82509
15-Feb-21,EQ,1506.00,1518.50,1476.75,1494.20,1484.30,1484.75,1490.96,1621.35,720.90,3156535,"4,70,62,52,551.30",100270
16-Feb-21,EQ,1492.15,1505.00,1461.00,1484.75,1475.00,1471.85,1479.88,1621.35,720.90,3090249,"4,57,32,09,909.75",97872
17-Feb-21,EQ,1469.40,1483.00,1449.50,1471.85,1463.80,1460.40,1469.52,1621.35,720.90,2096959,"3,08,15,23,345.60",66724
18-Feb-21,EQ,1465.10,1471.90,1429.00,1460.40,1435.50,1433.00,1443.36,1621.35,720.90,2686046,"3,87,69,38,624.90",94013
19-Feb-21,EQ,1434.00,1444.90,1412.80,1433.00,1430.00,1425.55,1429.77,1621.35,720.90,2543997,"3,63,73,42,910.65",82173
22-Feb-21,EQ,1425.00,1433.10,1396.00,1425.55,1405.50,1405.25,1416.14,1621.35,720.90,1931189,"2,73,48,42,427.55",93183
23-Feb-21,EQ,1415.00,1436.95,1400.15,1405.25,1426.80,1424.05,1423.20,1621.35,720.90,1871135,"2,66,29,90,378.80",74751
24-Feb-21,EQ,1424.05,1474.00,1424.05,1424.05,1451.00,1451.85,1441.40,1621.35,720.90,1143204,"1,64,78,16,286.85",56554
25-Feb-21,EQ,1460.00,1462.95,1430.50,1451.85,1440.25,1434.45,1441.18,1621.35,720.90,1967386,"2,83,53,56,164.70",71139
26-Feb-21,EQ,1420.00,1431.95,1403.10,1434.45,1409.95,1406.90,1413.06,1621.35,720.90,2715597,"3,83,72,94,538.85",87479
01-Mar-21,EQ,1421.50,1466.00,1416.60,1406.90,1454.00,1452.15,1451.75,1621.35,720.90,1962042,"2,84,83,87,271.85",75964
02-Mar-21,EQ,1469.00,1474.00,1450.00,1452.15,1469.65,1471.15,1462.49,1621.35,720.90,1293306,"1,89,14,51,400.05",48795
03-Mar-21,EQ,1472.00,1481.65,1466.15,1471.15,1470.05,1474.60,1475.03,1621.35,720.90,1227772,"1,81,09,94,635.50",45299
04-Mar-21,EQ,1452.00,1487.65,1450.55,1474.60,1469.00,1470.50,1474.87,1621.35,720.90,1822476,"2,68,79,10,260.00",53678
05-Mar-21,EQ,1465.00,1493.00,1462.20,1470.50,1474.00,1474.20,1479.99,1621.35,720.90,1954113,"2,89,20,76,810.25",60183
