Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,5440.00,5461.80,5326.45,5452.25,5362.00,5386.00,5385.50,5696.75,2910.00,461596,"2,48,59,23,080.95",47892
19-Jan-21,EQ,5400.10,5535.00,5393.75,5386.00,5500.00,5490.10,5478.52,5696.75,2910.00,483417,"2,64,84,07,672.80",44665
20-Jan-21,EQ,5514.00,5554.25,5463.90,5490.10,5532.30,5547.10,5513.07,5696.75,2910.00,321063,"1,77,00,43,645.55",28348
21-Jan-21,EQ,5599.00,5647.00,5511.40,5547.10,5560.00,5543.45,5584.99,5696.75,2910.00,481346,"2,68,83,11,912.20",52488
22-Jan-21,EQ,5578.00,5595.00,5468.05,5543.45,5580.75,5534.80,5538.43,5696.75,2910.00,680688,"3,76,99,42,740.30",69061
25-Jan-21,EQ,5745.00,5831.80,5326.65,5534.80,5371.95,5368.40,5615.98,5831.80,2910.00,3236487,"18,17,60,44,269.00",229469
27-Jan-21,EQ,5380.00,5519.90,5330.35,5368.40,5430.00,5404.85,5445.40,5831.80,2910.00,1212604,"6,60,31,08,930.95",116760
28-Jan-21,EQ,5350.00,5469.95,5340.00,5404.85,5430.00,5443.70,5405.45,5831.80,2910.00,576548,"3,11,65,01,492.95",54470
29-Jan-21,EQ,5489.00,5509.70,5288.00,5443.70,5323.40,5327.25,5412.25,5831.80,2910.00,745559,"4,03,51,55,365.10",59933
01-Feb-21,EQ,5384.00,5793.25,5260.00,5327.25,5750.00,5744.15,5589.68,5831.80,2910.00,1455212,"8,13,41,71,350.25",120882
02-Feb-21,EQ,5785.00,6199.00,5785.00,5744.15,6145.05,6123.55,6071.48,6199.00,2910.00,2251712,"13,67,12,21,399.60",167974
03-Feb-21,EQ,6155.00,6238.00,6040.00,6123.55,6063.15,6074.70,6115.24,6238.00,2910.00,952770,"5,82,64,14,648.40",90541
04-Feb-21,EQ,6093.00,6210.00,6041.55,6074.70,6199.00,6182.80,6139.25,6238.00,2910.00,683257,"4,19,46,87,434.55",64913
05-Feb-21,EQ,6180.00,6399.00,6120.00,6182.80,6346.15,6352.10,6282.74,6399.00,2910.00,1174059,"7,37,63,06,590.95",89391
08-Feb-21,EQ,6379.85,6485.00,6318.00,6352.10,6380.00,6368.15,6412.65,6485.00,2910.00,769441,"4,93,41,54,091.50",79238
09-Feb-21,EQ,6424.80,6480.00,6371.85,6368.15,6441.10,6420.40,6432.67,6485.00,2910.00,947676,"6,09,60,84,258.55",85676
10-Feb-21,EQ,6441.10,6589.00,6321.10,6420.40,6386.30,6392.15,6462.02,6589.00,2910.00,1045511,"6,75,61,18,029.35",89141
11-Feb-21,EQ,6399.50,6468.00,6369.30,6392.15,6413.40,6427.15,6427.29,6589.00,2910.00,390465,"2,50,96,32,995.85",30926
12-Feb-21,EQ,6439.90,6480.00,6366.95,6427.15,6404.00,6397.25,6417.42,6589.00,2910.00,408867,"2,62,38,69,833.45",39094
15-Feb-21,EQ,6435.00,6463.95,6387.10,6397.25,6409.05,6407.75,6420.45,6589.00,2910.00,277851,"1,78,39,28,857.90",22436
16-Feb-21,EQ,6448.00,6550.00,6409.95,6407.75,6457.85,6457.80,6490.17,6589.00,2910.00,595723,"3,86,63,41,062.65",50500
17-Feb-21,EQ,6457.80,6544.50,6390.95,6457.80,6424.25,6419.20,6454.90,6589.00,2910.00,555520,"3,58,58,24,173.60",60373
18-Feb-21,EQ,6492.30,6492.30,6301.00,6419.20,6323.05,6325.85,6362.41,6589.00,2910.00,573974,"3,65,18,59,260.40",49452
19-Feb-21,EQ,6315.00,6318.65,6175.00,6325.85,6203.05,6208.50,6242.82,6589.00,2910.00,499669,"3,11,93,42,391.70",46746
22-Feb-21,EQ,6215.00,6284.95,6108.65,6208.50,6155.00,6175.10,6201.77,6589.00,2910.00,528408,"3,27,70,65,897.30",46771
23-Feb-21,EQ,6186.00,6347.90,6131.05,6175.10,6278.00,6268.45,6248.83,6589.00,2910.00,453805,"2,83,57,51,369.60",37228
24-Feb-21,EQ,6319.00,6450.00,6210.00,6268.45,6406.00,6414.55,6357.40,6589.00,2910.00,378560,"2,40,66,56,775.05",33333
25-Feb-21,EQ,6406.00,6468.00,6338.45,6414.55,6441.10,6383.30,6385.03,6589.00,2910.00,803072,"5,12,76,41,933.30",45582
26-Feb-21,EQ,6370.00,6489.00,6060.00,6383.30,6088.00,6115.00,6276.18,6589.00,2910.00,1307673,"8,20,71,95,748.55",89169
01-Mar-21,EQ,6218.80,6389.80,6170.60,6115.00,6362.00,6365.05,6301.85,6589.00,2910.00,609302,"3,83,97,28,923.40",61796
02-Mar-21,EQ,6375.00,6473.85,6312.10,6365.05,6430.00,6423.10,6408.76,6589.00,2910.00,438046,"2,80,73,33,082.10",55717
03-Mar-21,EQ,6450.00,6535.00,6431.00,6423.10,6500.00,6500.50,6500.63,6589.00,2910.00,467421,"3,03,85,28,821.05",51670
04-Mar-21,EQ,6429.00,6830.00,6394.45,6500.50,6755.00,6775.55,6658.66,6830.00,2910.00,1303144,"8,67,71,92,840.60",101102
05-Mar-21,EQ,6690.50,6944.20,6690.50,6775.55,6800.00,6810.30,6843.07,6944.20,2910.00,1828811,"12,51,46,77,134.30",113303
08-Mar-21,EQ,6840.00,6847.90,6641.80,6810.30,6691.85,6668.15,6701.45,6944.20,2910.00,658514,"4,41,30,00,766.20",69237
09-Mar-21,EQ,6745.00,6824.00,6660.00,6668.15,6703.60,6697.40,6738.47,6944.20,2910.00,483037,"3,25,49,28,444.90",45434
10-Mar-21,EQ,6752.10,6789.00,6684.00,6697.40,6751.20,6764.05,6742.13,6944.20,2910.00,302774,"2,04,13,42,771.55",30468
12-Mar-21,EQ,6768.00,6853.65,6612.05,6764.05,6627.25,6638.15,6708.56,6944.20,2910.00,673811,"4,52,03,01,771.50",55382
15-Mar-21,EQ,6665.00,6678.85,6490.05,6638.15,6560.00,6561.45,6548.53,6944.20,2910.00,349036,"2,28,56,74,071.90",49688
16-Mar-21,EQ,6590.00,6703.00,6565.10,6561.45,6650.00,6639.95,6651.79,6944.20,2910.00,614224,"4,08,56,90,144.70",56159
17-Mar-21,EQ,6639.00,6670.00,6488.40,6639.95,6519.00,6520.25,6575.69,6944.20,2910.00,443282,"2,91,48,84,972.15",43319
18-Mar-21,EQ,6595.00,6636.65,6466.70,6520.25,6524.75,6510.05,6552.67,6944.20,2910.00,345807,"2,26,59,60,630.95",36910
19-Mar-21,EQ,6500.00,6700.00,6368.55,6510.05,6675.00,6672.00,6548.64,6944.20,2910.00,654457,"4,28,58,03,117.70",58999
22-Mar-21,EQ,6665.90,6785.00,6631.30,6672.00,6732.80,6728.00,6703.96,6944.20,2910.00,467719,"3,13,55,67,815.70",49924
23-Mar-21,EQ,6734.10,6958.75,6728.05,6728.00,6900.10,6939.10,6854.80,6958.75,2910.00,890457,"6,10,39,03,515.80",79506
24-Mar-21,EQ,6890.50,6944.00,6840.00,6939.10,6840.00,6858.65,6887.90,6958.75,2910.00,716392,"4,93,44,38,116.90",63493
25-Mar-21,EQ,6857.30,6913.90,6636.00,6858.65,6654.45,6666.50,6712.60,6958.75,2910.00,547365,"3,67,42,44,341.90",57844
26-Mar-21,EQ,6729.80,6785.00,6686.45,6666.50,6741.05,6735.25,6737.51,6958.75,2910.00,303751,"2,04,65,25,816.00",39087
30-Mar-21,EQ,6784.00,6875.00,6746.00,6735.25,6800.00,6785.60,6801.85,6958.75,3025.00,422442,"2,87,33,85,130.80",46741
31-Mar-21,EQ,6856.25,6856.25,6713.90,6785.60,6724.00,6737.95,6783.38,6958.75,3025.00,647600,"4,39,29,15,802.70",52255
01-Apr-21,EQ,6766.00,6933.70,6731.20,6737.95,6882.00,6898.85,6844.18,6958.75,3025.00,531749,"3,63,93,83,850.20",42208
05-Apr-21,EQ,6895.00,6994.00,6735.00,6898.85,6816.50,6795.80,6834.91,6994.00,3080.25,540954,"3,69,73,72,908.40",43412
06-Apr-21,EQ,6810.30,6849.00,6707.20,6795.80,6740.00,6736.65,6771.72,6994.00,3080.25,508328,"3,44,22,56,436.55",46869
07-Apr-21,EQ,6745.00,6860.00,6713.35,6736.65,6752.15,6760.05,6783.81,6994.00,3080.25,301479,"2,04,51,76,065.95",26813
08-Apr-21,EQ,6798.00,7052.85,6783.80,6760.05,7040.00,6971.25,6892.41,7052.85,3080.25,635298,"4,37,87,36,729.90",59771
09-Apr-21,EQ,7040.00,7055.95,6791.85,6971.25,6826.10,6825.85,6905.46,7055.95,3080.25,592763,"4,09,33,01,726.20",59798
12-Apr-21,EQ,6763.30,6763.30,6467.00,6825.85,6520.00,6509.40,6586.02,7055.95,3231.00,585717,"3,85,75,44,685.15",61530
13-Apr-21,EQ,6550.00,6656.45,6504.60,6509.40,6603.00,6604.45,6583.51,7055.95,3231.00,551188,"3,62,87,53,322.20",59515
15-Apr-21,EQ,6649.00,6700.00,6393.65,6604.45,6515.00,6539.30,6499.38,7055.95,3231.00,490675,"3,18,90,80,915.10",55379
16-Apr-21,EQ,6510.00,6786.45,6510.00,6539.30,6704.00,6715.20,6711.46,7055.95,3231.00,636917,"4,27,46,41,915.65",54229
19-Apr-21,EQ,6500.00,6569.45,6415.00,6715.20,6500.90,6509.75,6482.84,7055.95,3231.00,559506,"3,62,71,89,827.45",65152
20-Apr-21,EQ,6644.00,6688.60,6180.00,6509.75,6189.00,6200.85,6349.81,7055.95,3231.00,1272134,"8,07,78,15,328.35",117376
