Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jan-21,EQ,524.95,568.00,524.00,522.55,555.00,561.30,547.19,601.40,240.15,37175310,"20,34,18,64,817.30",366399
19-Jan-21,EQ,561.00,570.90,553.65,561.30,563.05,564.00,563.55,601.40,240.15,15094630,"8,50,66,49,709.70",174029
20-Jan-21,EQ,563.00,581.85,556.50,564.00,575.50,576.35,570.72,601.40,240.15,10900743,"6,22,12,78,625.90",138443
21-Jan-21,EQ,576.35,594.00,576.35,576.35,587.00,584.55,587.84,601.40,240.15,11759051,"6,91,24,74,227.35",146894
22-Jan-21,EQ,585.40,592.50,564.00,584.55,568.50,566.95,577.34,601.40,240.15,10118222,"5,84,16,91,912.45",114136
25-Jan-21,EQ,571.70,593.00,567.00,566.95,589.60,588.15,584.75,601.40,240.15,13563025,"7,93,09,48,274.10",164559
27-Jan-21,EQ,588.15,601.15,569.00,588.15,575.00,574.25,581.75,601.40,240.15,15463821,"8,99,61,26,103.80",189835
28-Jan-21,EQ,569.00,570.70,557.20,574.25,563.00,565.45,563.75,601.40,240.15,8146430,"4,59,25,41,758.50",90752
29-Jan-21,EQ,569.85,576.00,557.00,565.45,562.30,560.65,566.13,601.40,240.15,9298672,"5,26,42,73,762.85",117038
01-Feb-21,EQ,548.90,548.90,510.00,560.65,535.80,534.10,523.87,601.40,240.15,20250736,"10,60,87,06,089.10",278573
02-Feb-21,EQ,541.00,568.50,541.00,534.10,564.75,566.30,559.07,601.40,240.15,13416792,"7,50,09,06,742.80",153204
03-Feb-21,EQ,562.10,579.95,555.00,566.30,557.75,558.25,568.60,601.40,240.15,7268499,"4,13,28,41,435.25",91011
04-Feb-21,EQ,558.70,568.55,544.30,558.25,548.90,548.05,554.14,601.40,240.15,6751111,"3,74,10,81,763.15",90791
05-Feb-21,EQ,553.85,553.85,535.00,548.05,537.70,536.50,539.84,601.40,240.15,6377789,"3,44,29,74,088.95",76497
08-Feb-21,EQ,538.00,546.00,528.15,536.50,538.20,538.30,537.80,601.40,240.15,8511429,"4,57,74,38,479.65",99340
09-Feb-21,EQ,539.50,556.00,535.55,538.30,540.50,538.60,547.96,601.40,240.15,9171011,"5,02,53,32,744.00",127221
10-Feb-21,EQ,543.00,546.45,532.45,538.60,534.80,534.40,537.57,601.40,240.15,4446858,"2,39,04,90,881.40",60983
11-Feb-21,EQ,530.20,545.60,530.20,534.40,543.25,543.55,539.39,601.40,240.15,5684777,"3,06,62,86,013.95",81516
12-Feb-21,EQ,545.80,547.30,531.50,543.55,536.00,535.80,537.88,601.40,240.15,3043562,"1,63,70,82,098.75",49098
15-Feb-21,EQ,540.00,543.95,534.55,535.80,537.25,537.45,538.21,601.15,240.15,2569470,"1,38,29,04,007.05",42459
16-Feb-21,EQ,542.65,545.65,537.10,537.45,538.65,538.95,540.84,601.15,240.15,2976504,"1,60,98,06,430.90",42862
